time,c1,c2
0,2280.0,-2170.0
20,2230.0,-2190.0
40,2260.0,-2150.0
60,2190.0,-2120.0
80,2260.0,-2150.0
100,2240.0,-2160.0
120,2250.0,-2120.0
140,2240.0,-2140.0
160,2300.0,-2170.0
180,2250.0,-2160.0
200,2220.0,-2150.0
220,2250.0,-2240.0
240,2230.0,-2170.0
260,2230.0,-2190.0
280,2200.0,-2110.0
300,2270.0,-2120.0
320,2300.0,-2110.0
340,2330.0,-2230.0
360,2220.0,-2240.0
380,2280.0,-2200.0
400,2230.0,-2170.0
420,2270.0,-2190.0
440,2270.0,-2220.0
460,2270.0,-2180.0
480,2250.0,-2190.0
500,2260.0,-2240.0
520,2220.0,-2190.0
540,2270.0,-2190.0
560,2240.0,-2180.0
580,2240.0,-2150.0
600,2250.0,-2200.0
620,2260.0,-2170.0
640,2260.0,-2250.0
660,2250.0,-2190.0
680,2240.0,-2180.0
700,2230.0,-2110.0
720,2260.0,-2190.0
740,2240.0,-2170.0
760,2230.0,-2150.0
780,2220.0,-2190.0
800,2230.0,-2230.0
820,2250.0,-2230.0
840,2230.0,-2240.0
860,2300.0,-2220.0
880,2270.0,-2200.0
900,2220.0,-2210.0
920,2230.0,-2150.0
940,2290.0,-2150.0
960,2230.0,-2200.0
980,2220.0,-2130.0
1000,2260.0,-2240.0
1020,2250.0,-2180.0
1040,2230.0,-2220.0
1060,2270.0,-2190.0
1080,2260.0,-2200.0
1100,2260.0,-2190.0
1120,2270.0,-2240.0
1140,2270.0,-2240.0
1160,2250.0,-2230.0
1180,2240.0,-2200.0
1200,2260.0,-2170.0
1220,2240.0,-2110.0
1240,2290.0,-2110.0
1260,2210.0,-2170.0
1280,2230.0,-2150.0
1300,2230.0,-2160.0
1320,2240.0,-2210.0
1340,2230.0,-2230.0
1360,2310.0,-2240.0
1380,2240.0,-2280.0
1400,2280.0,-2250.0
1420,2260.0,-2200.0
1440,2250.0,-2180.0
1460,2220.0,-2140.0
1480,2210.0,-2170.0
1500,2320.0,-2170.0
1520,2250.0,-2120.0
1540,2260.0,-2160.0
1560,2230.0,-2150.0
1580,2290.0,-2200.0
1600,2270.0,-2170.0
1620,2230.0,-2200.0
1640,2250.0,-2140.0
1660,2280.0,-2130.0
1680,2250.0,-2200.0
1700,2250.0,-2230.0
1720,2260.0,-2220.0
1740,2270.0,-2180.0
1760,2310.0,-2190.0
1780,2280.0,-2150.0
1800,2270.0,-2140.0
1820,2250.0,-2160.0
1840,2250.0,-2240.0
1860,2280.0,-2180.0
1880,2270.0,-2160.0
1900,2280.0,-2190.0
1920,2230.0,-2120.0
1940,2260.0,-2170.0
1960,2250.0,-2130.0
1980,2230.0,-2210.0
2000,2230.0,-2220.0
2020,2210.0,-2170.0
2040,2220.0,-2180.0
2060,2250.0,-2190.0
2080,2290.0,-2160.0
2100,2270.0,-2120.0
2120,2290.0,-2160.0
2140,2280.0,-2210.0
2160,2230.0,-2170.0
2180,2240.0,-2220.0
2200,2280.0,-2140.0
2220,2270.0,-2150.0
2240,2280.0,-2220.0
2260,2260.0,-2240.0
2280,2220.0,-2130.0
2300,2230.0,-2190.0
2320,2250.0,-2160.0
2340,2270.0,-2230.0
2360,2240.0,-2200.0
2380,2250.0,-2170.0
2400,2260.0,-2170.0
2420,2250.0,-2210.0
2440,2250.0,-2180.0
2460,2240.0,-2210.0
2480,2270.0,-2230.0
2500,2280.0,-2180.0
2520,2240.0,-2180.0
2540,2250.0,-2120.0
2560,2290.0,-2100.0
2580,2270.0,-2140.0
2600,2200.0,-2180.0
2620,2220.0,-2170.0
2640,2290.0,-2200.0
2660,2260.0,-2180.0
2680,2220.0,-2150.0
2700,2250.0,-2180.0
2720,2210.0,-2160.0
2740,2240.0,-2120.0
2760,2230.0,-2120.0
2780,2230.0,-2240.0
2800,2270.0,-2210.0
2820,2240.0,-2220.0
2840,2280.0,-2130.0
2860,2260.0,-2150.0
2880,2230.0,-2200.0
2900,2250.0,-2120.0
2920,2240.0,-2140.0
2940,2250.0,-2170.0
2960,2230.0,-2190.0
2980,2230.0,-2190.0
3000,2260.0,-2190.0
3020,2250.0,-2160.0
3040,2230.0,-2160.0
3060,2260.0,-2130.0
3080,2230.0,-2140.0
3100,2260.0,-2190.0
3120,2290.0,-2190.0
3140,2230.0,-2240.0
3160,2220.0,-2160.0
3180,2250.0,-2230.0
3200,2280.0,-2150.0
3220,2290.0,-2180.0
3240,2230.0,-2150.0
3260,2250.0,-2210.0
3280,2290.0,-2210.0
3300,2240.0,-2160.0
3320,2260.0,-2150.0
3340,2230.0,-2170.0
3360,2270.0,-2150.0
3380,2280.0,-2230.0
3400,2240.0,-2180.0
3420,2230.0,-2200.0
3440,2290.0,-2190.0
3460,2230.0,-2180.0
3480,2250.0,-2110.0
3500,2260.0,-2140.0
3520,2280.0,-2160.0
3540,2270.0,-2240.0
3560,2260.0,-2220.0
3580,2270.0,-2160.0
3600,2250.0,-2190.0
3620,2230.0,-2160.0
3640,2270.0,-2120.0
3660,2260.0,-2170.0
3680,2220.0,-2220.0
3700,2240.0,-2210.0
3720,2280.0,-2130.0
3740,2250.0,-2140.0
3760,2240.0,-2210.0
3780,2240.0,-2210.0
3800,2200.0,-2170.0
3820,2300.0,-2160.0
3840,2220.0,-2200.0
3860,2290.0,-2180.0
3880,2260.0,-2170.0
