time,c1,q1,axis1_deg
0,1900.0,1.0,0.0
20,1940.0,1.0,0.0
40,1920.0,1.0,0.0
60,1950.0,1.0,0.0
80,1920.0,1.0,0.0
100,1970.0,1.0,0.0
120,1960.0,1.0,0.0
140,1990.0,1.0,0.0
160,1860.0,1.0,0.0
180,1930.0,1.0,0.0
200,1930.0,1.0,0.0
220,1910.0,1.0,0.0
240,1920.0,1.0,0.0
260,1930.0,1.0,0.0
280,1900.0,1.0,0.0
300,1940.0,1.0,0.0
320,1890.0,1.0,0.0
340,1950.0,1.0,0.0
360,1930.0,1.0,0.0
380,1950.0,1.0,0.0
400,1890.0,1.0,0.0
420,1960.0,1.0,0.0
440,1940.0,1.0,0.0
460,1920.0,1.0,0.0
480,1940.0,1.0,0.0
500,1960.0,1.0,0.0
520,1900.0,1.0,0.0
540,1940.0,1.0,0.0
560,1940.0,1.0,0.0
580,1900.0,1.0,0.0
600,1870.0,1.0,0.0
620,1890.0,1.0,0.0
640,1950.0,1.0,0.0
660,1890.0,1.0,0.0
680,1850.0,1.0,0.0
700,1940.0,1.0,0.0
720,1930.0,1.0,0.0
740,1940.0,1.0,0.0
760,1960.0,1.0,0.0
780,1930.0,1.0,0.0
800,1880.0,1.0,0.0
820,1970.0,1.0,0.0
840,1920.0,1.0,0.0
860,1920.0,1.0,0.0
880,1960.0,1.0,0.0
900,1920.0,1.0,0.0
920,1900.0,1.0,0.0
940,1980.0,1.0,0.0
960,1910.0,1.0,0.0
980,1900.0,1.0,0.0
1000,1930.0,1.0,0.0
1020,1910.0,1.0,0.0
1040,1910.0,1.0,0.0
1060,1930.0,1.0,0.0
1080,1920.0,1.0,0.0
1100,2000.0,1.0,0.0
1120,1930.0,1.0,0.0
1140,1870.0,1.0,0.0
1160,1930.0,1.0,0.0
1180,1940.0,1.0,0.0
1200,1920.0,1.0,0.0
1220,1900.0,1.0,0.0
1240,1930.0,1.0,0.0
1260,1960.0,1.0,0.0
1280,1910.0,1.0,0.0
1300,1950.0,1.0,0.0
1320,1950.0,1.0,0.0
1340,1950.0,1.0,0.0
1360,1930.0,1.0,0.0
1380,1930.0,1.0,0.0
1400,1890.0,1.0,0.0
1420,1930.0,1.0,0.0
1440,1940.0,1.0,0.0
1460,1980.0,1.0,0.0
1480,1930.0,1.0,0.0
1500,1890.0,1.0,0.0
1520,1960.0,1.0,0.0
1540,1950.0,1.0,0.0
1560,1880.0,1.0,0.0
1580,1940.0,1.0,0.0
1600,1850.0,1.0,0.0
1620,1940.0,1.0,0.0
1640,1990.0,1.0,0.0
1660,1890.0,1.0,0.0
1680,1910.0,1.0,0.0
1700,1950.0,1.0,0.0
1720,1930.0,1.0,0.0
1740,1910.0,1.0,0.0
1760,1970.0,1.0,0.0
1780,1950.0,1.0,0.0
1800,1890.0,1.0,0.0
1820,1990.0,1.0,0.0
1840,1920.0,1.0,0.0
1860,1930.0,1.0,0.0
1880,1920.0,1.0,0.0
1900,1940.0,1.0,0.0
1920,1910.0,1.0,0.0
1940,1940.0,1.0,0.0
1960,1930.0,1.0,0.0
1980,1950.0,1.0,0.0
2000,1980.0,1.0,0.0
2020,1910.0,1.0,0.0
2040,1900.0,1.0,0.0
2060,1900.0,1.0,0.0
2080,1940.0,1.0,0.0
2100,1900.0,1.0,0.0
2120,1950.0,1.0,0.0
2140,1900.0,1.0,0.0
2160,1940.0,1.0,0.0
2180,1910.0,1.0,0.0
2200,1930.0,1.0,0.0
2220,1970.0,1.0,0.0
2240,1930.0,1.0,0.0
2260,1960.0,1.0,0.0
2280,1890.0,1.0,0.0
2300,1960.0,1.0,0.0
2320,1880.0,1.0,0.0
2340,1990.0,1.0,0.0
2360,1940.0,1.0,0.0
2380,1950.0,1.0,0.0
2400,1940.0,1.0,0.0
2420,1930.0,1.0,0.0
2440,1970.0,1.0,0.0
2460,1910.0,1.0,0.0
2480,1940.0,1.0,0.0
2500,1860.0,1.0,0.0
2520,1880.0,1.0,0.0
2540,1940.0,1.0,0.0
2560,1920.0,1.0,0.0
2580,1960.0,1.0,0.0
2600,1890.0,1.0,0.0
2620,1890.0,1.0,0.0
2640,1930.0,1.0,0.0
2660,1930.0,1.0,0.0
2680,1900.0,1.0,0.0
2700,1910.0,1.0,0.0
2720,1940.0,1.0,0.0
2740,1910.0,1.0,0.0
2760,1930.0,1.0,0.0
2780,1920.0,1.0,0.0
2800,1920.0,1.0,0.0
2820,2000.0,1.0,0.0
2840,1910.0,1.0,0.0
2860,1960.0,1.0,0.0
2880,1910.0,1.0,0.0
2900,1920.0,1.0,0.0
2920,1920.0,1.0,0.0
2940,1940.0,1.0,0.0
2960,1920.0,1.0,0.0
2980,1890.0,1.0,0.0
3000,1890.0,1.0,0.0
3020,1910.0,1.0,0.0
3040,1980.0,1.0,0.0
3060,1890.0,1.0,0.0
3080,1920.0,1.0,0.0
3100,1970.0,1.0,0.0
3120,1980.0,1.0,0.0
3140,1930.0,1.0,0.0
3160,1950.0,1.0,0.0
3180,1870.0,1.0,0.0
3200,1900.0,1.0,0.0
3220,1950.0,1.0,0.0
3240,1930.0,1.0,0.0
3260,1980.0,1.0,0.0
3280,1920.0,1.0,0.0
3300,1870.0,1.0,0.0
3320,1940.0,1.0,0.0
3340,1900.0,1.0,0.0
3360,1970.0,1.0,0.0
3380,1870.0,1.0,0.0
3400,1950.0,1.0,0.0
3420,1900.0,1.0,0.0
3440,1900.0,1.0,0.0
3460,1950.0,1.0,0.0
3480,2010.0,1.0,0.0
3500,1930.0,1.0,0.0
3520,1950.0,1.0,0.0
3540,1930.0,1.0,0.0
3560,1930.0,1.0,0.0
3580,1910.0,1.0,0.0
3600,1920.0,1.0,0.0
3620,1910.0,1.0,0.0
3640,1930.0,1.0,0.0
3660,1970.0,1.0,0.0
3680,1960.0,1.0,0.0
3700,1980.0,1.0,0.0
3720,1930.0,1.0,0.0
3740,1940.0,1.0,0.0
3760,1960.0,1.0,0.0
3780,1920.0,1.0,0.0
3800,1880.0,1.0,0.0
3820,1970.0,1.0,0.0
3840,1910.0,1.0,0.0
3860,1890.0,1.0,0.0
3880,1950.0,1.0,0.0
3900,1940.0,1.0,0.0
3920,1950.0,1.0,0.0
3940,1900.0,1.0,0.0
3960,1870.0,1.0,0.0
3980,1910.0,1.0,0.0
4000,1940.0,1.0,0.0
4020,1930.0,1.0,0.0
4040,1940.0,1.0,0.0
4060,1980.0,1.0,0.0
4080,1900.0,1.0,0.0
4100,1870.0,1.0,0.0
4120,1900.0,1.0,0.0
4140,1880.0,1.0,0.0
4160,1940.0,1.0,0.0
4180,1910.0,1.0,0.0
4200,1920.0,1.0,0.0
4220,1960.0,1.0,0.0
4240,1900.0,1.0,0.0
4260,1900.0,1.0,0.0
4280,1950.0,1.0,0.0
4300,1990.0,1.0,0.0
4320,1940.0,1.0,0.0
4340,1970.0,1.0,0.0
4360,1920.0,1.0,0.0
4380,1860.0,1.0,0.0
4400,1910.0,1.0,0.0
4420,1940.0,1.0,0.0
4440,1910.0,1.0,0.0
4460,1970.0,1.0,0.0
4480,1920.0,1.0,0.0
4500,1950.0,1.0,0.0
4520,1950.0,1.0,0.0
4540,1910.0,1.0,0.0
4560,1950.0,1.0,0.0
4580,1940.0,1.0,0.0
4600,1900.0,1.0,0.0
