time,c1,c2
0,2250.0,-2200.0
20,2230.0,-2230.0
40,2300.0,-2140.0
60,2240.0,-2100.0
80,2240.0,-2150.0
100,2270.0,-2200.0
120,2260.0,-2140.0
140,2230.0,-2120.0
160,2280.0,-2120.0
180,2230.0,-2130.0
200,2300.0,-2110.0
220,2240.0,-2160.0
240,2260.0,-2180.0
260,2260.0,-2160.0
280,2190.0,-2150.0
300,2230.0,-2070.0
320,2270.0,-2110.0
340,2330.0,-2190.0
360,2260.0,-2140.0
380,2280.0,-2160.0
400,2230.0,-2210.0
420,2310.0,-2200.0
440,2270.0,-2210.0
460,2240.0,-2180.0
480,2290.0,-2210.0
500,2220.0,-2230.0
520,2220.0,-2140.0
540,2260.0,-2170.0
560,2310.0,-2260.0
580,2300.0,-2180.0
600,2280.0,-2190.0
620,2300.0,-2180.0
640,2280.0,-2220.0
660,2300.0,-2210.0
680,2270.0,-2180.0
700,2250.0,-2140.0
720,2270.0,-2190.0
740,2240.0,-2140.0
760,2270.0,-2130.0
780,2220.0,-2160.0
800,2260.0,-2150.0
820,2280.0,-2210.0
840,2260.0,-2190.0
860,2290.0,-2180.0
880,2300.0,-2180.0
900,2280.0,-2150.0
920,2250.0,-2170.0
940,2250.0,-2230.0
960,2240.0,-2160.0
980,2230.0,-2150.0
1000,2200.0,-2210.0
1020,2250.0,-2220.0
1040,2220.0,-2200.0
1060,2270.0,-2200.0
1080,2220.0,-2200.0
1100,2280.0,-2190.0
1120,2250.0,-2230.0
1140,2270.0,-2190.0
1160,2240.0,-2160.0
1180,2270.0,-2090.0
1200,2260.0,-2200.0
1220,2230.0,-2200.0
1240,2260.0,-2130.0
1260,2240.0,-2160.0
1280,2240.0,-2170.0
1300,2230.0,-2200.0
1320,2240.0,-2210.0
1340,2230.0,-2200.0
1360,2230.0,-2250.0
1380,2240.0,-2230.0
1400,2250.0,-2220.0
1420,2270.0,-2200.0
1440,2200.0,-2140.0
1460,2280.0,-2180.0
1480,2220.0,-2170.0
1500,2290.0,-2180.0
1520,2270.0,-2140.0
1540,2270.0,-2200.0
1560,2230.0,-2200.0
1580,2290.0,-2120.0
1600,2260.0,-2140.0
1620,2250.0,-2180.0
1640,2250.0,-2080.0
1660,2290.0,-2160.0
1680,2240.0,-2130.0
1700,2220.0,-2210.0
1720,2240.0,-2210.0
1740,2220.0,-2160.0
1760,2290.0,-2180.0
1780,2330.0,-2180.0
1800,2260.0,-2170.0
1820,2240.0,-2240.0
1840,2270.0,-2280.0
1860,2290.0,-2200.0
1880,2260.0,-2200.0
1900,2270.0,-2180.0
1920,2230.0,-2140.0
1940,2260.0,-2160.0
1960,2230.0,-2140.0
1980,2250.0,-2190.0
2000,2270.0,-2220.0
2020,2240.0,-2200.0
2040,2290.0,-2170.0
2060,2260.0,-2220.0
2080,2270.0,-2270.0
2100,2240.0,-2220.0
2120,2240.0,-2170.0
2140,2250.0,-2150.0
2160,2270.0,-2170.0
2180,2210.0,-2150.0
2200,2270.0,-2110.0
2220,2230.0,-2170.0
2240,2290.0,-2220.0
2260,2290.0,-2260.0
2280,2260.0,-2180.0
2300,2230.0,-2200.0
2320,2270.0,-2190.0
2340,2310.0,-2240.0
2360,2240.0,-2180.0
2380,2220.0,-2180.0
2400,2310.0,-2210.0
2420,2220.0,-2210.0
2440,2270.0,-2160.0
2460,2310.0,-2120.0
2480,2260.0,-2120.0
2500,2280.0,-2200.0
2520,2260.0,-2160.0
2540,2250.0,-2150.0
2560,2270.0,-2140.0
2580,2250.0,-2180.0
2600,2220.0,-2170.0
2620,2270.0,-2170.0
2640,2250.0,-2160.0
2660,2280.0,-2160.0
2680,2230.0,-2130.0
2700,2250.0,-2200.0
2720,2240.0,-2230.0
2740,2230.0,-2240.0
2760,2260.0,-2170.0
2780,2280.0,-2180.0
2800,2260.0,-2140.0
2820,2260.0,-2200.0
2840,2270.0,-2150.0
2860,2270.0,-2140.0
2880,2200.0,-2120.0
2900,2260.0,-2150.0
2920,2210.0,-2180.0
2940,2270.0,-2170.0
2960,2290.0,-2130.0
2980,2240.0,-2150.0
3000,2250.0,-2130.0
3020,2240.0,-2130.0
3040,2230.0,-2170.0
3060,2290.0,-2110.0
3080,2230.0,-2150.0
3100,2270.0,-2160.0
3120,2210.0,-2210.0
3140,2240.0,-2250.0
3160,2220.0,-2170.0
3180,2230.0,-2210.0
3200,2280.0,-2190.0
3220,2310.0,-2170.0
3240,2240.0,-2110.0
3260,2300.0,-2170.0
3280,2200.0,-2150.0
3300,2250.0,-2210.0
3320,2280.0,-2240.0
3340,2210.0,-2210.0
3360,2260.0,-2170.0
3380,2270.0,-2150.0
3400,2250.0,-2180.0
3420,2220.0,-2130.0
3440,2270.0,-2180.0
3460,2210.0,-2160.0
3480,2240.0,-2110.0
3500,2280.0,-2140.0
3520,2270.0,-2100.0
3540,2280.0,-2130.0
3560,2260.0,-2210.0
3580,2290.0,-2190.0
3600,2250.0,-2150.0
3620,2240.0,-2180.0
3640,2250.0,-2090.0
3660,2260.0,-2140.0
3680,2250.0,-2160.0
3700,2240.0,-2140.0
3720,2230.0,-2090.0
3740,2250.0,-2150.0
3760,2240.0,-2180.0
3780,2270.0,-2180.0
3800,2230.0,-2140.0
3820,2250.0,-2180.0
3840,2280.0,-2160.0
3860,2300.0,-2180.0
3880,2240.0,-2180.0
3900,2300.0,-2140.0
3920,2240.0,-2140.0
3940,2250.0,-2190.0
3960,2280.0,-2180.0
3980,2250.0,-2160.0
4000,2250.0,-2120.0
4020,2270.0,-2170.0
4040,2250.0,-2210.0
4060,2260.0,-2160.0
4080,2230.0,-2180.0
4100,2300.0,-2140.0
4120,2220.0,-2130.0
4140,2290.0,-2200.0
4160,2220.0,-2190.0
4180,2270.0,-2180.0
4200,2250.0,-2120.0
4220,2260.0,-2110.0
4240,2280.0,-2160.0
4260,2240.0,-2180.0
4280,2260.0,-2170.0
4300,2270.0,-2170.0
4320,2310.0,-2110.0
4340,2260.0,-2190.0
4360,2220.0,-2110.0
4380,2270.0,-2170.0
4400,2270.0,-2210.0
4420,2270.0,-2150.0
4440,2290.0,-2120.0
4460,2280.0,-2180.0
4480,2250.0,-2220.0
4500,2220.0,-2120.0
4520,2220.0,-2150.0
4540,2270.0,-2150.0
4560,2280.0,-2210.0
4580,2290.0,-2190.0
4600,2240.0,-2230.0
4620,2220.0,-2260.0
4640,2220.0,-2250.0
4660,2290.0,-2260.0
4680,2250.0,-2220.0
4700,2220.0,-2160.0
4720,2230.0,-2170.0
4740,2250.0,-2170.0
4760,2250.0,-2240.0
4780,2230.0,-2220.0
4800,2260.0,-2230.0
4820,2280.0,-2170.0
4840,2280.0,-2170.0
4860,2260.0,-2190.0
4880,2280.0,-2150.0
4900,2250.0,-2140.0
4920,2240.0,-2200.0
4940,2260.0,-2180.0
4960,2240.0,-2170.0
4980,2250.0,-2160.0
5000,2260.0,-2120.0
5020,2220.0,-2160.0
5040,2270.0,-2160.0
5060,2250.0,-2150.0
5080,2250.0,-2170.0
5100,2260.0,-2180.0
5120,2250.0,-2200.0
5140,2270.0,-2160.0
5160,2250.0,-2180.0
5180,2270.0,-2190.0
5200,2260.0,-2150.0
5220,2210.0,-2140.0
5240,2300.0,-2130.0
5260,2270.0,-2160.0
5280,2260.0,-2160.0
5300,2250.0,-2170.0
5320,2250.0,-2150.0
5340,2290.0,-2160.0
5360,2230.0,-2110.0
5380,2240.0,-2100.0
5400,2240.0,-2170.0
5420,2310.0,-2180.0
5440,2270.0,-2180.0
5460,2240.0,-2180.0
5480,2250.0,-2220.0
5500,2250.0,-2130.0
5520,2200.0,-2180.0
5540,2240.0,-2150.0
5560,2260.0,-2170.0
5580,2250.0,-2170.0
5600,2240.0,-2180.0
5620,2250.0,-2200.0
5640,2210.0,-2210.0
5660,2230.0,-2200.0
5680,2260.0,-2210.0
5700,2260.0,-2200.0
5720,2240.0,-2230.0
5740,2260.0,-2220.0
5760,2260.0,-2250.0
5780,2260.0,-2170.0
5800,2280.0,-2170.0
5820,2290.0,-2230.0
5840,2270.0,-2190.0
5860,2250.0,-2220.0
5880,2290.0,-2180.0
5900,2280.0,-2170.0
5920,2270.0,-2100.0
5940,2240.0,-2140.0
5960,2230.0,-2170.0
5980,2280.0,-2120.0
6000,2300.0,-2170.0
6020,2230.0,-2170.0
6040,2270.0,-2210.0
6060,2220.0,-2230.0
6080,2240.0,-2180.0
6100,2290.0,-2150.0
6120,2300.0,-2180.0
6140,2290.0,-2190.0
6160,2280.0,-2220.0
6180,2270.0,-2230.0
6200,2250.0,-2220.0
6220,2310.0,-2210.0
6240,2330.0,-2180.0
6260,2300.0,-2220.0
6280,2300.0,-2240.0
6300,2270.0,-2190.0
6320,2310.0,-2170.0
6340,2330.0,-2260.0
6360,2280.0,-2240.0
6380,2380.0,-2320.0
6400,2370.0,-2280.0
6420,2390.0,-2340.0
6440,2390.0,-2320.0
6460,2440.0,-2340.0
6480,2540.0,-2400.0
6500,2520.0,-2400.0
6520,2560.0,-2380.0
6540,2570.0,-2460.0
6560,2600.0,-2470.0
6580,2550.0,-2490.0
6600,2620.0,-2520.0
6620,2680.0,-2570.0
6640,2690.0,-2600.0
6660,2730.0,-2530.0
6680,2780.0,-2560.0
6700,2780.0,-2600.0
6720,2820.0,-2660.0
6740,2870.0,-2660.0
6760,2860.0,-2770.0
6780,2810.0,-2730.0
6800,2860.0,-2760.0
6820,2880.0,-2730.0
6840,2920.0,-2690.0
6860,2900.0,-2720.0
6880,2980.0,-2760.0
6900,2910.0,-2850.0
6920,2940.0,-2860.0
6940,2930.0,-2780.0
6960,2980.0,-2730.0
6980,2990.0,-2800.0
7000,3000.0,-2820.0
7020,2960.0,-2770.0
7040,2950.0,-2760.0
7060,2940.0,-2770.0
7080,2980.0,-2760.0
7100,2990.0,-2820.0
7120,2990.0,-2840.0
7140,3020.0,-2900.0
7160,3030.0,-2890.0
7180,2990.0,-2900.0
7200,3020.0,-2880.0
7220,3020.0,-2860.0
7240,2990.0,-2840.0
7260,2960.0,-2810.0
7280,2980.0,-2850.0
7300,2960.0,-2910.0
7320,3000.0,-2900.0
7340,2980.0,-2890.0
7360,3010.0,-2840.0
7380,2990.0,-2860.0
7400,2970.0,-2870.0
7420,2960.0,-2800.0
7440,2970.0,-2800.0
7460,2980.0,-2850.0
7480,3050.0,-2820.0
7500,2960.0,-2910.0
7520,3010.0,-2960.0
7540,3010.0,-2900.0
7560,3030.0,-2970.0
7580,3060.0,-2930.0
7600,2990.0,-2890.0
7620,3020.0,-2880.0
7640,3000.0,-2850.0
7660,2930.0,-2830.0
7680,2970.0,-2850.0
7700,2960.0,-2840.0
7720,3030.0,-2860.0
7740,3040.0,-2880.0
7760,3030.0,-2850.0
7780,3030.0,-2860.0
7800,3010.0,-2870.0
7820,2980.0,-2840.0
7840,3030.0,-2850.0
7860,3060.0,-2850.0
7880,3000.0,-2900.0
7900,3000.0,-2930.0
7920,3050.0,-2910.0
7940,3000.0,-2890.0
7960,3050.0,-2870.0
7980,3010.0,-2820.0
8000,3030.0,-2950.0
8020,3050.0,-2880.0
8040,3020.0,-2880.0
8060,2990.0,-2880.0
8080,3030.0,-2850.0
8100,3010.0,-2860.0
8120,2980.0,-2880.0
8140,2880.0,-2830.0
8160,2920.0,-2870.0
8180,2980.0,-2790.0
8200,3010.0,-2850.0
8220,3000.0,-2870.0
8240,3010.0,-2880.0
8260,2980.0,-2910.0
8280,3010.0,-2880.0
8300,3000.0,-2910.0
