time,c1,q1,axis1_deg
5000,2000.0,1.0,0.0
5020,1960.0,1.0,0.0
5040,2010.0,1.0,0.0
5060,1980.0,1.0,0.0
5080,2020.0,1.0,0.0
5100,1990.0,1.0,0.0
5120,2020.0,1.0,0.0
5140,1990.0,1.0,0.0
5160,1970.0,1.0,0.0
5180,1990.0,1.0,0.0
5200,1950.0,1.0,0.0
5220,2010.0,1.0,0.0
5240,2030.0,1.0,0.0
5260,1990.0,1.0,0.0
5280,2010.0,1.0,0.0
5300,2030.0,1.0,0.0
5320,2000.0,1.0,0.0
5340,1990.0,1.0,0.0
5360,2010.0,1.0,0.0
5380,1970.0,1.0,0.0
5400,2000.0,1.0,0.0
5420,2000.0,1.0,0.0
5440,1970.0,1.0,0.0
5460,2010.0,1.0,0.0
5480,2000.0,1.0,0.0
5500,1980.0,1.0,0.0
5520,1980.0,1.0,0.0
5540,1980.0,1.0,0.0
5560,1990.0,1.0,0.0
5580,2010.0,1.0,0.0
5600,2010.0,1.0,0.0
5620,1970.0,1.0,0.0
5640,2010.0,1.0,0.0
5660,1970.0,1.0,0.0
5680,1990.0,1.0,0.0
5700,2000.0,1.0,0.0
5720,2010.0,1.0,0.0
5740,1990.0,1.0,0.0
5760,2000.0,1.0,0.0
5780,1990.0,1.0,0.0
5800,2000.0,1.0,0.0
5820,1980.0,1.0,0.0
5840,2020.0,1.0,0.0
5860,2000.0,1.0,0.0
5880,2010.0,1.0,0.0
5900,1990.0,1.0,0.0
5920,1980.0,1.0,0.0
5940,2030.0,1.0,0.0
5960,1990.0,1.0,0.0
5980,2000.0,1.0,0.0
6000,1980.0,1.0,0.0
6020,2040.0,1.0,0.0
6040,2000.0,1.0,0.0
6060,1990.0,1.0,0.0
6080,2010.0,1.0,0.0
6100,1970.0,1.0,0.0
6120,1990.0,1.0,0.0
6140,1980.0,1.0,0.0
6160,1990.0,1.0,0.0
6180,1990.0,1.0,0.0
6200,2010.0,1.0,0.0
6220,2010.0,1.0,0.0
