time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
0,16160.0,1.0,0.0,-17570.0,1.0,0.0,-17320.0,1.0,0.0,15940.0,1.0,0.0
20,16240.0,1.0,0.0,-17760.0,1.0,0.0,-17220.0,1.0,0.0,15850.0,1.0,0.0
40,16330.0,1.0,0.0,-17710.0,1.0,0.0,-17000.0,1.0,0.0,15880.0,1.0,0.0
60,16330.0,1.0,0.0,-17810.0,1.0,0.0,-17050.0,1.0,0.0,15940.0,1.0,0.0
80,16360.0,1.0,0.0,-17690.0,1.0,0.0,-17150.0,1.0,0.0,16100.0,1.0,0.0
100,16260.0,1.0,0.0,-17770.0,1.0,0.0,-17040.0,1.0,0.0,15910.0,1.0,0.0
120,16240.0,1.0,0.0,-17620.0,1.0,0.0,-17060.0,1.0,0.0,15910.0,1.0,0.0
140,15940.0,1.0,0.0,-17780.0,1.0,0.0,-17170.0,1.0,0.0,15910.0,1.0,0.0
160,15910.0,1.0,0.0,-17860.0,1.0,0.0,-17200.0,1.0,0.0,16000.0,1.0,0.0
180,16070.0,1.0,0.0,-17650.0,1.0,0.0,-17350.0,1.0,0.0,15930.0,1.0,0.0
200,16080.0,1.0,0.0,-17730.0,1.0,0.0,-17450.0,1.0,0.0,16030.0,1.0,0.0
220,16090.0,1.0,0.0,-17700.0,1.0,0.0,-17270.0,1.0,0.0,16010.0,1.0,0.0
240,16180.0,1.0,0.0,-17690.0,1.0,0.0,-17430.0,1.0,0.0,16030.0,1.0,0.0
260,16120.0,1.0,0.0,-17760.0,1.0,0.0,-17560.0,1.0,0.0,15920.0,1.0,0.0
280,16140.0,1.0,0.0,-17790.0,1.0,0.0,-17680.0,1.0,0.0,15880.0,1.0,0.0
300,16030.0,1.0,0.0,-17880.0,1.0,0.0,-17550.0,1.0,0.0,15870.0,1.0,0.0
320,16050.0,1.0,0.0,-17880.0,1.0,0.0,-17390.0,1.0,0.0,15800.0,1.0,0.0
340,15750.0,1.0,0.0,-17890.0,1.0,0.0,-17260.0,1.0,0.0,15870.0,1.0,0.0
360,15870.0,1.0,0.0,-17920.0,1.0,0.0,-17360.0,1.0,0.0,15850.0,1.0,0.0
380,15940.0,1.0,0.0,-17770.0,1.0,0.0,-17370.0,1.0,0.0,15780.0,1.0,0.0
400,15920.0,1.0,0.0,-17690.0,1.0,0.0,-17350.0,1.0,0.0,15690.0,1.0,0.0
420,16010.0,1.0,0.0,-17760.0,1.0,0.0,-17500.0,1.0,0.0,15910.0,1.0,0.0
440,16110.0,1.0,0.0,-17790.0,1.0,0.0,-17390.0,1.0,0.0,15820.0,1.0,0.0
460,16080.0,1.0,0.0,-17690.0,1.0,0.0,-17420.0,1.0,0.0,15810.0,1.0,0.0
480,16270.0,1.0,0.0,-17690.0,1.0,0.0,-17440.0,1.0,0.0,15860.0,1.0,0.0
500,16090.0,1.0,0.0,-17780.0,1.0,0.0,-17670.0,1.0,0.0,16040.0,1.0,0.0
520,15990.0,1.0,0.0,-17870.0,1.0,0.0,-17470.0,1.0,0.0,16150.0,1.0,0.0
540,16130.0,1.0,0.0,-17820.0,1.0,0.0,-17450.0,1.0,0.0,16010.0,1.0,0.0
560,16040.0,1.0,0.0,-17900.0,1.0,0.0,-17500.0,1.0,0.0,15960.0,1.0,0.0
580,16090.0,1.0,0.0,-17870.0,1.0,0.0,-17520.0,1.0,0.0,16180.0,1.0,0.0
600,16130.0,1.0,0.0,-17910.0,1.0,0.0,-17300.0,1.0,0.0,16100.0,1.0,0.0
620,16230.0,1.0,0.0,-17840.0,1.0,0.0,-17410.0,1.0,0.0,16130.0,1.0,0.0
640,16100.0,1.0,0.0,-17930.0,1.0,0.0,-17460.0,1.0,0.0,15890.0,1.0,0.0
660,16210.0,1.0,0.0,-17840.0,1.0,0.0,-17650.0,1.0,0.0,16100.0,1.0,0.0
680,16180.0,1.0,0.0,-17720.0,1.0,0.0,-17440.0,1.0,0.0,16050.0,1.0,0.0
700,16310.0,1.0,0.0,-17850.0,1.0,0.0,-17380.0,1.0,0.0,16090.0,1.0,0.0
720,16060.0,1.0,0.0,-17790.0,1.0,0.0,-17400.0,1.0,0.0,15960.0,1.0,0.0
740,15950.0,1.0,0.0,-17880.0,1.0,0.0,-17400.0,1.0,0.0,15930.0,1.0,0.0
760,16120.0,1.0,0.0,-17600.0,1.0,0.0,-17270.0,1.0,0.0,15730.0,1.0,0.0
780,16030.0,1.0,0.0,-17530.0,1.0,0.0,-17270.0,1.0,0.0,15970.0,1.0,0.0
800,16070.0,1.0,0.0,-17640.0,1.0,0.0,-17090.0,1.0,0.0,15910.0,1.0,0.0
820,16050.0,1.0,0.0,-17520.0,1.0,0.0,-17270.0,1.0,0.0,15970.0,1.0,0.0
840,16000.0,1.0,0.0,-17450.0,1.0,0.0,-17120.0,1.0,0.0,15940.0,1.0,0.0
860,15860.0,1.0,0.0,-17670.0,1.0,0.0,-17260.0,1.0,0.0,16100.0,1.0,0.0
880,15840.0,1.0,0.0,-17750.0,1.0,0.0,-17130.0,1.0,0.0,16000.0,1.0,0.0
900,16010.0,1.0,0.0,-17570.0,1.0,0.0,-17100.0,1.0,0.0,15910.0,1.0,0.0
920,15880.0,1.0,0.0,-17590.0,1.0,0.0,-17030.0,1.0,0.0,15880.0,1.0,0.0
940,16020.0,1.0,0.0,-17460.0,1.0,0.0,-17220.0,1.0,0.0,15890.0,1.0,0.0
960,16050.0,1.0,0.0,-17570.0,1.0,0.0,-17170.0,1.0,0.0,16040.0,1.0,0.0
980,16050.0,1.0,0.0,-17390.0,1.0,0.0,-17080.0,1.0,0.0,16140.0,1.0,0.0
1000,16180.0,1.0,0.0,-17400.0,1.0,0.0,-17230.0,1.0,0.0,16130.0,1.0,0.0
1020,16160.0,1.0,0.0,-17390.0,1.0,0.0,-17200.0,1.0,0.0,15980.0,1.0,0.0
1040,15920.0,1.0,0.0,-17510.0,1.0,0.0,-17100.0,1.0,0.0,16020.0,1.0,0.0
1060,16010.0,1.0,0.0,-17390.0,1.0,0.0,-16970.0,1.0,0.0,16030.0,1.0,0.0
1080,16030.0,1.0,0.0,-17330.0,1.0,0.0,-17020.0,1.0,0.0,16180.0,1.0,0.0
1100,16060.0,1.0,0.0,-17390.0,1.0,0.0,-16970.0,1.0,0.0,16160.0,1.0,0.0
1120,16200.0,1.0,0.0,-17400.0,1.0,0.0,-16880.0,1.0,0.0,16080.0,1.0,0.0
1140,16150.0,1.0,0.0,-17420.0,1.0,0.0,-17010.0,1.0,0.0,16020.0,1.0,0.0
1160,16060.0,1.0,0.0,-17430.0,1.0,0.0,-16970.0,1.0,0.0,15780.0,1.0,0.0
1180,16090.0,1.0,0.0,-17370.0,1.0,0.0,-16880.0,1.0,0.0,15940.0,1.0,0.0
1200,16110.0,1.0,0.0,-17330.0,1.0,0.0,-16980.0,1.0,0.0,15810.0,1.0,0.0
1220,15860.0,1.0,0.0,-17320.0,1.0,0.0,-16940.0,1.0,0.0,15990.0,1.0,0.0
1240,15860.0,1.0,0.0,-17470.0,1.0,0.0,-16920.0,1.0,0.0,15970.0,1.0,0.0
1260,16020.0,1.0,0.0,-17490.0,1.0,0.0,-16950.0,1.0,0.0,15960.0,1.0,0.0
1280,16290.0,1.0,0.0,-17800.0,1.0,0.0,-17240.0,1.0,0.0,16310.0,1.0,0.0
1300,16600.0,1.0,0.0,-18090.0,1.0,0.0,-17600.0,1.0,0.0,16560.0,1.0,0.0
1320,16880.0,1.0,0.0,-18310.0,1.0,0.0,-17960.0,1.0,0.0,17000.0,1.0,0.0
1340,17080.0,1.0,0.0,-18680.0,1.0,0.0,-18230.0,1.0,0.0,17430.0,1.0,0.0
1360,17350.0,1.0,0.0,-19040.0,1.0,0.0,-18580.0,1.0,0.0,17690.0,1.0,0.0
1380,17570.0,1.0,0.0,-19340.0,1.0,0.0,-18890.0,1.0,0.0,17920.0,1.0,0.0
1400,17690.0,1.0,0.0,-19330.0,1.0,0.0,-19060.0,1.0,0.0,17880.0,1.0,0.0
1420,17890.0,1.0,0.0,-19500.0,1.0,0.0,-19000.0,1.0,0.0,17810.0,1.0,0.0
1440,18030.0,1.0,0.0,-19660.0,1.0,0.0,-18910.0,1.0,0.0,17810.0,1.0,0.0
1460,17960.0,1.0,0.0,-19370.0,1.0,0.0,-18840.0,1.0,0.0,17920.0,1.0,0.0
1480,17830.0,1.0,0.0,-19430.0,1.0,0.0,-18870.0,1.0,0.0,17690.0,1.0,0.0
1500,17960.0,1.0,0.0,-19260.0,1.0,0.0,-18920.0,1.0,0.0,17640.0,1.0,0.0
1520,17810.0,1.0,0.0,-19080.0,1.0,0.0,-18730.0,1.0,0.0,17540.0,1.0,0.0
1540,17730.0,1.0,0.0,-19050.0,1.0,0.0,-18670.0,1.0,0.0,17680.0,1.0,0.0
1560,17760.0,1.0,0.0,-18950.0,1.0,0.0,-18340.0,1.0,0.0,17670.0,1.0,0.0
1580,17810.0,1.0,0.0,-18760.0,1.0,0.0,-18230.0,1.0,0.0,17540.0,1.0,0.0
1600,17690.0,1.0,0.0,-18680.0,1.0,0.0,-18270.0,1.0,0.0,17500.0,1.0,0.0
1620,17630.0,1.0,0.0,-18660.0,1.0,0.0,-17930.0,1.0,0.0,17370.0,1.0,0.0
1640,17450.0,1.0,0.0,-18630.0,1.0,0.0,-17890.0,1.0,0.0,17600.0,1.0,0.0
1660,17620.0,1.0,0.0,-18480.0,1.0,0.0,-17870.0,1.0,0.0,17690.0,1.0,0.0
1680,17630.0,1.0,0.0,-18360.0,1.0,0.0,-17790.0,1.0,0.0,17640.0,1.0,0.0
1700,17580.0,1.0,0.0,-18260.0,1.0,0.0,-17680.0,1.0,0.0,17670.0,1.0,0.0
1720,17640.0,1.0,0.0,-18080.0,1.0,0.0,-17570.0,1.0,0.0,17640.0,1.0,0.0
1740,17570.0,1.0,0.0,-18150.0,1.0,0.0,-17650.0,1.0,0.0,17600.0,1.0,0.0
1760,17570.0,1.0,0.0,-17940.0,1.0,0.0,-17470.0,1.0,0.0,17570.0,1.0,0.0
1780,17710.0,1.0,0.0,-17790.0,1.0,0.0,-17240.0,1.0,0.0,17510.0,1.0,0.0
1800,17610.0,1.0,0.0,-17620.0,1.0,0.0,-17260.0,1.0,0.0,17620.0,1.0,0.0
1820,17460.0,1.0,0.0,-17700.0,1.0,0.0,-17280.0,1.0,0.0,17600.0,1.0,0.0
1840,17660.0,1.0,0.0,-17500.0,1.0,0.0,-17060.0,1.0,0.0,17640.0,1.0,0.0
1860,17680.0,1.0,0.0,-17580.0,1.0,0.0,-17050.0,1.0,0.0,17860.0,1.0,0.0
1880,17730.0,1.0,0.0,-17410.0,1.0,0.0,-16890.0,1.0,0.0,17700.0,1.0,0.0
1900,17840.0,1.0,0.0,-17190.0,1.0,0.0,-16790.0,1.0,0.0,17610.0,1.0,0.0
1920,17960.0,1.0,0.0,-17170.0,1.0,0.0,-16650.0,1.0,0.0,17580.0,1.0,0.0
1940,17740.0,1.0,0.0,-17030.0,1.0,0.0,-16580.0,1.0,0.0,17530.0,1.0,0.0
1960,17810.0,1.0,0.0,-16840.0,1.0,0.0,-16510.0,1.0,0.0,17700.0,1.0,0.0
1980,17990.0,1.0,0.0,-16880.0,1.0,0.0,-16230.0,1.0,0.0,17510.0,1.0,0.0
2000,17920.0,1.0,0.0,-16810.0,1.0,0.0,-16360.0,1.0,0.0,17800.0,1.0,0.0
2020,17980.0,1.0,0.0,-16550.0,1.0,0.0,-16420.0,1.0,0.0,17750.0,1.0,0.0
2040,17860.0,1.0,0.0,-16550.0,1.0,0.0,-16480.0,1.0,0.0,17950.0,1.0,0.0
2060,17960.0,1.0,0.0,-16740.0,1.0,0.0,-16380.0,1.0,0.0,17870.0,1.0,0.0
2080,17880.0,1.0,0.0,-16770.0,1.0,0.0,-16460.0,1.0,0.0,17770.0,1.0,0.0
2100,17710.0,1.0,0.0,-16620.0,1.0,0.0,-16440.0,1.0,0.0,17690.0,1.0,0.0
