time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
1000,18080.0,1.0,0.0,-14800.0,1.0,0.0,-15030.0,1.0,0.0,19320.0,1.0,0.0
1020,18140.0,1.0,0.0,-15010.0,1.0,0.0,-14980.0,1.0,0.0,19260.0,1.0,0.0
1040,18250.0,1.0,0.0,-15170.0,1.0,0.0,-15060.0,1.0,0.0,19320.0,1.0,0.0
1060,18400.0,1.0,0.0,-15380.0,1.0,0.0,-15160.0,1.0,0.0,19360.0,1.0,0.0
1080,18410.0,1.0,0.0,-15570.0,1.0,0.0,-15160.0,1.0,0.0,19300.0,1.0,0.0
1100,18500.0,1.0,0.0,-15520.0,1.0,0.0,-15200.0,1.0,0.0,19210.0,1.0,0.0
1120,18510.0,1.0,0.0,-15650.0,1.0,0.0,-15290.0,1.0,0.0,19130.0,1.0,0.0
1140,18610.0,1.0,0.0,-15850.0,1.0,0.0,-15190.0,1.0,0.0,18870.0,1.0,0.0
1160,18770.0,1.0,0.0,-16020.0,1.0,0.0,-15170.0,1.0,0.0,18850.0,1.0,0.0
1180,18770.0,1.0,0.0,-16000.0,1.0,0.0,-15320.0,1.0,0.0,18710.0,1.0,0.0
1200,18870.0,1.0,0.0,-16020.0,1.0,0.0,-15300.0,1.0,0.0,18740.0,1.0,0.0
1220,18880.0,1.0,0.0,-15940.0,1.0,0.0,-15220.0,1.0,0.0,18700.0,1.0,0.0
1240,19060.0,1.0,0.0,-16080.0,1.0,0.0,-15380.0,1.0,0.0,18550.0,1.0,0.0
1260,19040.0,1.0,0.0,-16140.0,1.0,0.0,-15320.0,1.0,0.0,18290.0,1.0,0.0
1280,18910.0,1.0,0.0,-16300.0,1.0,0.0,-15170.0,1.0,0.0,18400.0,1.0,0.0
1300,18870.0,1.0,0.0,-16210.0,1.0,0.0,-15070.0,1.0,0.0,18460.0,1.0,0.0
1320,18680.0,1.0,0.0,-16290.0,1.0,0.0,-14960.0,1.0,0.0,18500.0,1.0,0.0
1340,18620.0,1.0,0.0,-16340.0,1.0,0.0,-14970.0,1.0,0.0,18520.0,1.0,0.0
1360,18520.0,1.0,0.0,-16500.0,1.0,0.0,-14940.0,1.0,0.0,18360.0,1.0,0.0
1380,18530.0,1.0,0.0,-16520.0,1.0,0.0,-14920.0,1.0,0.0,18410.0,1.0,0.0
1400,18660.0,1.0,0.0,-16480.0,1.0,0.0,-14720.0,1.0,0.0,18510.0,1.0,0.0
1420,18460.0,1.0,0.0,-16310.0,1.0,0.0,-14710.0,1.0,0.0,18470.0,1.0,0.0
1440,18300.0,1.0,0.0,-16290.0,1.0,0.0,-14460.0,1.0,0.0,18300.0,1.0,0.0
1460,18200.0,1.0,0.0,-16120.0,1.0,0.0,-14240.0,1.0,0.0,18340.0,1.0,0.0
1480,18060.0,1.0,0.0,-16040.0,1.0,0.0,-14000.0,1.0,0.0,18140.0,1.0,0.0
1500,17780.0,1.0,0.0,-15920.0,1.0,0.0,-13840.0,1.0,0.0,17930.0,1.0,0.0
1520,17560.0,1.0,0.0,-15810.0,1.0,0.0,-13610.0,1.0,0.0,17810.0,1.0,0.0
1540,17310.0,1.0,0.0,-15570.0,1.0,0.0,-13390.0,1.0,0.0,17600.0,1.0,0.0
1560,17060.0,1.0,0.0,-15370.0,1.0,0.0,-13300.0,1.0,0.0,17490.0,1.0,0.0
1580,16890.0,1.0,0.0,-15150.0,1.0,0.0,-13160.0,1.0,0.0,17330.0,1.0,0.0
1600,16730.0,1.0,0.0,-14880.0,1.0,0.0,-13100.0,1.0,0.0,17230.0,1.0,0.0
1620,16590.0,1.0,0.0,-14720.0,1.0,0.0,-13220.0,1.0,0.0,17350.0,1.0,0.0
1640,16620.0,1.0,0.0,-14520.0,1.0,0.0,-13220.0,1.0,0.0,17280.0,1.0,0.0
