time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
0,16310.0,1.0,0.0,-17460.0,1.0,0.0,-16510.0,1.0,0.0,16210.0,1.0,0.0
20,16410.0,1.0,0.0,-17500.0,1.0,0.0,-16500.0,1.0,0.0,16280.0,1.0,0.0
40,16370.0,1.0,0.0,-17540.0,1.0,0.0,-16370.0,1.0,0.0,16330.0,1.0,0.0
60,16460.0,1.0,0.0,-17410.0,1.0,0.0,-16330.0,1.0,0.0,16390.0,1.0,0.0
80,16470.0,1.0,0.0,-17380.0,1.0,0.0,-16450.0,1.0,0.0,16270.0,1.0,0.0
100,16530.0,1.0,0.0,-17370.0,1.0,0.0,-16390.0,1.0,0.0,16170.0,1.0,0.0
120,16510.0,1.0,0.0,-17330.0,1.0,0.0,-16470.0,1.0,0.0,16230.0,1.0,0.0
140,16490.0,1.0,0.0,-17420.0,1.0,0.0,-16420.0,1.0,0.0,16260.0,1.0,0.0
160,16520.0,1.0,0.0,-17420.0,1.0,0.0,-16270.0,1.0,0.0,16480.0,1.0,0.0
180,16440.0,1.0,0.0,-17410.0,1.0,0.0,-16300.0,1.0,0.0,16380.0,1.0,0.0
200,16470.0,1.0,0.0,-17290.0,1.0,0.0,-16300.0,1.0,0.0,16420.0,1.0,0.0
220,16500.0,1.0,0.0,-17180.0,1.0,0.0,-16170.0,1.0,0.0,16430.0,1.0,0.0
240,16500.0,1.0,0.0,-17180.0,1.0,0.0,-16210.0,1.0,0.0,16440.0,1.0,0.0
260,16520.0,1.0,0.0,-17090.0,1.0,0.0,-16340.0,1.0,0.0,16330.0,1.0,0.0
280,16500.0,1.0,0.0,-17230.0,1.0,0.0,-16300.0,1.0,0.0,16300.0,1.0,0.0
300,16480.0,1.0,0.0,-17320.0,1.0,0.0,-16170.0,1.0,0.0,16310.0,1.0,0.0
320,16510.0,1.0,0.0,-17390.0,1.0,0.0,-16130.0,1.0,0.0,16430.0,1.0,0.0
340,16590.0,1.0,0.0,-17280.0,1.0,0.0,-16110.0,1.0,0.0,16460.0,1.0,0.0
360,16680.0,1.0,0.0,-17100.0,1.0,0.0,-16180.0,1.0,0.0,16470.0,1.0,0.0
380,16760.0,1.0,0.0,-17120.0,1.0,0.0,-16120.0,1.0,0.0,16450.0,1.0,0.0
400,16830.0,1.0,0.0,-17000.0,1.0,0.0,-16110.0,1.0,0.0,16440.0,1.0,0.0
420,16860.0,1.0,0.0,-16990.0,1.0,0.0,-15990.0,1.0,0.0,16330.0,1.0,0.0
440,16840.0,1.0,0.0,-17050.0,1.0,0.0,-15890.0,1.0,0.0,16390.0,1.0,0.0
460,16890.0,1.0,0.0,-17110.0,1.0,0.0,-16040.0,1.0,0.0,16500.0,1.0,0.0
480,16900.0,1.0,0.0,-17000.0,1.0,0.0,-16060.0,1.0,0.0,16490.0,1.0,0.0
500,16780.0,1.0,0.0,-17050.0,1.0,0.0,-16090.0,1.0,0.0,16540.0,1.0,0.0
520,16860.0,1.0,0.0,-17050.0,1.0,0.0,-16180.0,1.0,0.0,16540.0,1.0,0.0
540,16870.0,1.0,0.0,-16970.0,1.0,0.0,-16200.0,1.0,0.0,16460.0,1.0,0.0
560,16710.0,1.0,0.0,-16970.0,1.0,0.0,-16070.0,1.0,0.0,16440.0,1.0,0.0
580,16700.0,1.0,0.0,-16870.0,1.0,0.0,-16050.0,1.0,0.0,16470.0,1.0,0.0
600,16700.0,1.0,0.0,-16800.0,1.0,0.0,-16190.0,1.0,0.0,16650.0,1.0,0.0
620,16810.0,1.0,0.0,-16920.0,1.0,0.0,-16080.0,1.0,0.0,16610.0,1.0,0.0
640,16830.0,1.0,0.0,-17070.0,1.0,0.0,-16020.0,1.0,0.0,16720.0,1.0,0.0
660,16840.0,1.0,0.0,-17100.0,1.0,0.0,-16050.0,1.0,0.0,16680.0,1.0,0.0
680,16810.0,1.0,0.0,-17130.0,1.0,0.0,-16050.0,1.0,0.0,16710.0,1.0,0.0
700,16960.0,1.0,0.0,-17020.0,1.0,0.0,-16020.0,1.0,0.0,16760.0,1.0,0.0
720,16960.0,1.0,0.0,-16910.0,1.0,0.0,-16020.0,1.0,0.0,16650.0,1.0,0.0
740,16940.0,1.0,0.0,-16880.0,1.0,0.0,-16020.0,1.0,0.0,16640.0,1.0,0.0
760,16820.0,1.0,0.0,-16820.0,1.0,0.0,-16200.0,1.0,0.0,16590.0,1.0,0.0
780,16880.0,1.0,0.0,-16800.0,1.0,0.0,-16200.0,1.0,0.0,16620.0,1.0,0.0
800,16730.0,1.0,0.0,-16850.0,1.0,0.0,-16150.0,1.0,0.0,16680.0,1.0,0.0
820,16660.0,1.0,0.0,-16700.0,1.0,0.0,-16150.0,1.0,0.0,16670.0,1.0,0.0
840,16680.0,1.0,0.0,-16750.0,1.0,0.0,-16030.0,1.0,0.0,16540.0,1.0,0.0
860,16780.0,1.0,0.0,-16790.0,1.0,0.0,-16180.0,1.0,0.0,16540.0,1.0,0.0
880,16750.0,1.0,0.0,-16750.0,1.0,0.0,-16170.0,1.0,0.0,16460.0,1.0,0.0
900,16670.0,1.0,0.0,-16640.0,1.0,0.0,-16140.0,1.0,0.0,16610.0,1.0,0.0
920,16750.0,1.0,0.0,-16770.0,1.0,0.0,-16030.0,1.0,0.0,16530.0,1.0,0.0
940,16810.0,1.0,0.0,-16780.0,1.0,0.0,-16010.0,1.0,0.0,16650.0,1.0,0.0
960,16820.0,1.0,0.0,-16790.0,1.0,0.0,-16060.0,1.0,0.0,16560.0,1.0,0.0
980,16700.0,1.0,0.0,-16750.0,1.0,0.0,-16150.0,1.0,0.0,16460.0,1.0,0.0
1000,16730.0,1.0,0.0,-16790.0,1.0,0.0,-16160.0,1.0,0.0,16490.0,1.0,0.0
1020,16750.0,1.0,0.0,-16810.0,1.0,0.0,-16130.0,1.0,0.0,16330.0,1.0,0.0
1040,16720.0,1.0,0.0,-16900.0,1.0,0.0,-16060.0,1.0,0.0,16430.0,1.0,0.0
1060,16650.0,1.0,0.0,-16890.0,1.0,0.0,-16180.0,1.0,0.0,16350.0,1.0,0.0
1080,16670.0,1.0,0.0,-16870.0,1.0,0.0,-16170.0,1.0,0.0,16480.0,1.0,0.0
1100,16790.0,1.0,0.0,-16740.0,1.0,0.0,-16230.0,1.0,0.0,16490.0,1.0,0.0
1120,16840.0,1.0,0.0,-16810.0,1.0,0.0,-16230.0,1.0,0.0,16400.0,1.0,0.0
1140,16850.0,1.0,0.0,-16860.0,1.0,0.0,-16160.0,1.0,0.0,16590.0,1.0,0.0
1160,16920.0,1.0,0.0,-16950.0,1.0,0.0,-16140.0,1.0,0.0,16730.0,1.0,0.0
1180,16900.0,1.0,0.0,-16950.0,1.0,0.0,-15990.0,1.0,0.0,16610.0,1.0,0.0
