time,c1,c2
0,2230.0,-2200.0
20,2190.0,-2250.0
40,2150.0,-2290.0
60,2180.0,-2290.0
80,2240.0,-2340.0
100,2180.0,-2380.0
120,2190.0,-2280.0
140,2190.0,-2300.0
160,2190.0,-2290.0
180,2150.0,-2300.0
200,2170.0,-2220.0
220,2170.0,-2220.0
240,2230.0,-2220.0
260,2210.0,-2220.0
280,2170.0,-2210.0
300,2220.0,-2200.0
320,2220.0,-2150.0
340,2230.0,-2230.0
360,2150.0,-2300.0
380,2190.0,-2300.0
400,2160.0,-2310.0
420,2160.0,-2320.0
440,2200.0,-2360.0
460,2190.0,-2310.0
480,2160.0,-2200.0
500,2120.0,-2230.0
520,2150.0,-2260.0
540,2130.0,-2280.0
560,2190.0,-2170.0
580,2180.0,-2220.0
600,2170.0,-2270.0
620,2150.0,-2280.0
640,2170.0,-2190.0
660,2180.0,-2280.0
680,2210.0,-2290.0
700,2100.0,-2300.0
720,2170.0,-2270.0
740,2220.0,-2240.0
760,2170.0,-2230.0
780,2140.0,-2300.0
800,2160.0,-2280.0
820,2160.0,-2290.0
840,2150.0,-2270.0
860,2210.0,-2300.0
880,2200.0,-2210.0
900,2200.0,-2240.0
920,2120.0,-2250.0
940,2160.0,-2220.0
960,2210.0,-2210.0
980,2140.0,-2190.0
1000,2140.0,-2210.0
1020,2170.0,-2270.0
1040,2200.0,-2240.0
1060,2180.0,-2230.0
1080,2170.0,-2190.0
1100,2160.0,-2200.0
1120,2160.0,-2270.0
1140,2160.0,-2210.0
1160,2190.0,-2270.0
1180,2150.0,-2280.0
1200,2180.0,-2240.0
1220,2190.0,-2290.0
1240,2170.0,-2240.0
1260,2140.0,-2300.0
1280,2170.0,-2320.0
1300,2180.0,-2320.0
1320,2210.0,-2280.0
1340,2160.0,-2200.0
1360,2200.0,-2210.0
1380,2200.0,-2240.0
1400,2220.0,-2330.0
1420,2110.0,-2280.0
1440,2170.0,-2280.0
1460,2170.0,-2250.0
1480,2220.0,-2340.0
1500,2130.0,-2220.0
1520,2180.0,-2120.0
1540,2130.0,-2210.0
1560,2160.0,-2270.0
1580,2150.0,-2250.0
1600,2190.0,-2210.0
1620,2170.0,-2230.0
1640,2160.0,-2190.0
1660,2130.0,-2220.0
1680,2180.0,-2220.0
1700,2140.0,-2250.0
1720,2170.0,-2310.0
1740,2160.0,-2280.0
1760,2150.0,-2270.0
1780,2170.0,-2240.0
1800,2130.0,-2250.0
1820,2200.0,-2330.0
1840,2170.0,-2260.0
1860,2150.0,-2320.0
1880,2170.0,-2260.0
1900,2190.0,-2330.0
1920,2110.0,-2230.0
1940,2170.0,-2200.0
1960,2170.0,-2280.0
1980,2230.0,-2260.0
2000,2150.0,-2270.0
2020,2140.0,-2280.0
2040,2160.0,-2320.0
2060,2240.0,-2270.0
2080,2170.0,-2210.0
2100,2140.0,-2240.0
2120,2140.0,-2280.0
2140,2170.0,-2250.0
2160,2200.0,-2210.0
2180,2180.0,-2240.0
2200,2150.0,-2330.0
2220,2220.0,-2280.0
2240,2190.0,-2260.0
2260,2140.0,-2270.0
2280,2170.0,-2190.0
2300,2200.0,-2250.0
2320,2170.0,-2220.0
2340,2150.0,-2280.0
2360,2140.0,-2250.0
2380,2190.0,-2240.0
2400,2150.0,-2180.0
2420,2150.0,-2200.0
2440,2120.0,-2260.0
2460,2140.0,-2260.0
2480,2190.0,-2250.0
2500,2160.0,-2300.0
2520,2140.0,-2260.0
2540,2180.0,-2290.0
2560,2170.0,-2270.0
2580,2140.0,-2260.0
2600,2130.0,-2250.0
2620,2190.0,-2270.0
2640,2190.0,-2250.0
2660,2130.0,-2250.0
2680,2120.0,-2250.0
2700,2140.0,-2230.0
2720,2190.0,-2210.0
2740,2150.0,-2250.0
2760,2130.0,-2220.0
2780,2220.0,-2250.0
2800,2170.0,-2150.0
2820,2170.0,-2180.0
2840,2160.0,-2280.0
2860,2170.0,-2300.0
2880,2170.0,-2230.0
2900,2120.0,-2260.0
2920,2180.0,-2250.0
2940,2200.0,-2270.0
2960,2190.0,-2210.0
2980,2170.0,-2180.0
3000,2190.0,-2290.0
3020,2120.0,-2290.0
3040,2170.0,-2240.0
3060,2160.0,-2240.0
3080,2120.0,-2250.0
3100,2150.0,-2290.0
3120,2200.0,-2200.0
3140,2200.0,-2280.0
3160,2160.0,-2350.0
3180,2140.0,-2280.0
3200,2160.0,-2240.0
3220,2180.0,-2330.0
3240,2180.0,-2270.0
3260,2090.0,-2240.0
3280,2150.0,-2290.0
3300,2160.0,-2290.0
3320,2150.0,-2280.0
3340,2140.0,-2290.0
3360,2150.0,-2230.0
3380,2220.0,-2210.0
3400,2150.0,-2290.0
3420,2100.0,-2280.0
3440,2170.0,-2310.0
3460,2160.0,-2270.0
3480,2170.0,-2330.0
3500,2140.0,-2210.0
3520,2160.0,-2160.0
3540,2140.0,-2230.0
3560,2140.0,-2270.0
3580,2170.0,-2230.0
3600,2130.0,-2270.0
3620,2200.0,-2230.0
3640,2210.0,-2250.0
3660,2140.0,-2270.0
3680,2160.0,-2210.0
3700,2160.0,-2210.0
3720,2180.0,-2220.0
3740,2210.0,-2300.0
3760,2150.0,-2260.0
3780,2200.0,-2300.0
3800,2170.0,-2280.0
3820,2210.0,-2270.0
3840,2160.0,-2280.0
3860,2170.0,-2240.0
3880,2190.0,-2280.0
3900,2150.0,-2270.0
3920,2110.0,-2270.0
3940,2150.0,-2260.0
3960,2170.0,-2270.0
3980,2150.0,-2250.0
4000,2150.0,-2270.0
4020,2200.0,-2200.0
4040,2170.0,-2250.0
4060,2120.0,-2230.0
4080,2140.0,-2170.0
4100,2160.0,-2240.0
4120,2200.0,-2290.0
4140,2160.0,-2250.0
4160,2160.0,-2240.0
4180,2200.0,-2240.0
4200,2170.0,-2240.0
4220,2150.0,-2270.0
4240,2150.0,-2170.0
4260,2160.0,-2150.0
4280,2140.0,-2230.0
4300,2200.0,-2280.0
4320,2200.0,-2260.0
4340,2150.0,-2310.0
4360,2180.0,-2290.0
4380,2230.0,-2290.0
4400,2200.0,-2220.0
4420,2130.0,-2240.0
4440,2200.0,-2270.0
4460,2180.0,-2220.0
4480,2170.0,-2200.0
4500,2140.0,-2330.0
4520,2220.0,-2260.0
4540,2210.0,-2320.0
4560,2210.0,-2240.0
4580,2170.0,-2260.0
4600,2190.0,-2290.0
4620,2220.0,-2260.0
4640,2180.0,-2160.0
4660,2170.0,-2240.0
4680,2170.0,-2240.0
4700,2130.0,-2270.0
4720,2160.0,-2260.0
4740,2150.0,-2270.0
4760,2160.0,-2250.0
4780,2160.0,-2280.0
4800,2110.0,-2240.0
4820,2120.0,-2310.0
4840,2110.0,-2310.0
4860,2200.0,-2280.0
4880,2230.0,-2290.0
4900,2130.0,-2230.0
4920,2150.0,-2320.0
4940,2160.0,-2310.0
4960,2220.0,-2210.0
4980,2130.0,-2230.0
5000,2130.0,-2320.0
5020,2170.0,-2260.0
5040,2180.0,-2230.0
5060,2190.0,-2240.0
5080,2140.0,-2230.0
5100,2160.0,-2230.0
5120,2250.0,-2260.0
5140,2200.0,-2330.0
5160,2220.0,-2270.0
5180,2190.0,-2270.0
5200,2230.0,-2300.0
5220,2190.0,-2200.0
5240,2170.0,-2270.0
5260,2190.0,-2230.0
5280,2150.0,-2230.0
5300,2180.0,-2300.0
5320,2150.0,-2270.0
5340,2160.0,-2300.0
5360,2160.0,-2280.0
5380,2140.0,-2250.0
5400,2150.0,-2270.0
5420,2130.0,-2280.0
5440,2140.0,-2310.0
5460,2200.0,-2300.0
5480,2160.0,-2290.0
5500,2140.0,-2170.0
5520,2180.0,-2190.0
5540,2220.0,-2160.0
5560,2130.0,-2260.0
5580,2170.0,-2290.0
5600,2170.0,-2220.0
5620,2210.0,-2290.0
5640,2160.0,-2270.0
5660,2130.0,-2290.0
5680,2130.0,-2160.0
5700,2240.0,-2230.0
5720,2150.0,-2210.0
5740,2150.0,-2240.0
5760,2210.0,-2210.0
5780,2170.0,-2280.0
5800,2140.0,-2320.0
5820,2180.0,-2290.0
5840,2160.0,-2260.0
5860,2150.0,-2280.0
5880,2190.0,-2310.0
5900,2230.0,-2320.0
5920,2210.0,-2260.0
5940,2180.0,-2200.0
5960,2140.0,-2230.0
5980,2190.0,-2250.0
6000,2180.0,-2240.0
6020,2210.0,-2310.0
6040,2200.0,-2270.0
6060,2210.0,-2310.0
6080,2120.0,-2240.0
6100,2140.0,-2260.0
6120,2190.0,-2300.0
6140,2170.0,-2310.0
6160,2130.0,-2200.0
6180,2170.0,-2220.0
6200,2160.0,-2320.0
6220,2170.0,-2270.0
6240,2140.0,-2290.0
6260,2160.0,-2240.0
6280,2200.0,-2270.0
6300,2190.0,-2370.0
6320,2170.0,-2350.0
6340,2240.0,-2300.0
6360,2230.0,-2390.0
6380,2280.0,-2410.0
6400,2250.0,-2340.0
6420,2250.0,-2320.0
6440,2340.0,-2380.0
6460,2370.0,-2490.0
6480,2370.0,-2590.0
6500,2460.0,-2600.0
6520,2440.0,-2570.0
6540,2420.0,-2540.0
6560,2470.0,-2600.0
6580,2520.0,-2650.0
6600,2590.0,-2650.0
6620,2620.0,-2650.0
6640,2680.0,-2730.0
6660,2630.0,-2720.0
6680,2690.0,-2720.0
6700,2690.0,-2750.0
6720,2770.0,-2870.0
6740,2780.0,-2820.0
6760,2780.0,-2840.0
6780,2740.0,-2870.0
6800,2830.0,-2950.0
6820,2860.0,-2920.0
6840,2830.0,-2950.0
6860,2840.0,-2980.0
6880,2910.0,-3000.0
6900,2890.0,-3080.0
6920,2880.0,-3080.0
6940,2830.0,-3050.0
6960,2870.0,-3050.0
6980,2940.0,-3070.0
7000,2900.0,-2990.0
7020,2930.0,-3020.0
7040,2940.0,-3020.0
7060,3010.0,-3130.0
7080,2950.0,-3190.0
7100,2970.0,-3150.0
7120,2930.0,-3150.0
7140,2950.0,-3140.0
7160,2950.0,-3150.0
7180,2910.0,-3110.0
7200,2950.0,-3060.0
7220,2950.0,-3020.0
7240,2930.0,-3120.0
7260,2920.0,-3100.0
7280,2940.0,-3070.0
7300,2980.0,-3050.0
7320,2980.0,-2950.0
7340,2950.0,-2910.0
7360,2940.0,-3020.0
7380,2990.0,-3060.0
