time,c1,c2
0,2230.0,-2140.0
20,2200.0,-2130.0
40,2210.0,-2180.0
60,2200.0,-2210.0
80,2210.0,-2150.0
100,2230.0,-2140.0
120,2160.0,-2160.0
140,2140.0,-2130.0
160,2240.0,-2070.0
180,2230.0,-2150.0
200,2180.0,-2120.0
220,2220.0,-2140.0
240,2260.0,-2190.0
260,2210.0,-2170.0
280,2190.0,-2200.0
300,2150.0,-2220.0
320,2230.0,-2200.0
340,2170.0,-2150.0
360,2170.0,-2240.0
380,2150.0,-2190.0
400,2200.0,-2230.0
420,2200.0,-2180.0
440,2250.0,-2160.0
460,2150.0,-2140.0
480,2230.0,-2250.0
500,2260.0,-2170.0
520,2190.0,-2250.0
540,2300.0,-2220.0
560,2260.0,-2250.0
580,2190.0,-2200.0
600,2250.0,-2190.0
620,2290.0,-2190.0
640,2280.0,-2190.0
660,2250.0,-2190.0
680,2250.0,-2220.0
700,2230.0,-2180.0
720,2240.0,-2210.0
740,2200.0,-2200.0
760,2240.0,-2210.0
780,2290.0,-2250.0
800,2220.0,-2180.0
820,2230.0,-2210.0
840,2300.0,-2210.0
860,2260.0,-2150.0
880,2230.0,-2180.0
900,2190.0,-2210.0
920,2260.0,-2220.0
940,2250.0,-2200.0
960,2230.0,-2200.0
980,2200.0,-2190.0
1000,2280.0,-2280.0
1020,2290.0,-2270.0
1040,2180.0,-2190.0
1060,2240.0,-2160.0
1080,2280.0,-2210.0
1100,2200.0,-2190.0
1120,2240.0,-2140.0
1140,2170.0,-2190.0
1160,2180.0,-2280.0
1180,2250.0,-2280.0
1200,2260.0,-2220.0
1220,2230.0,-2180.0
1240,2270.0,-2220.0
1260,2210.0,-2130.0
1280,2220.0,-2180.0
1300,2240.0,-2190.0
1320,2270.0,-2190.0
1340,2290.0,-2130.0
1360,2210.0,-2190.0
1380,2180.0,-2200.0
1400,2250.0,-2160.0
1420,2260.0,-2240.0
1440,2240.0,-2230.0
1460,2250.0,-2240.0
1480,2290.0,-2200.0
1500,2180.0,-2190.0
1520,2220.0,-2210.0
1540,2210.0,-2220.0
1560,2220.0,-2160.0
1580,2230.0,-2170.0
