time,c1,c2
0,2320.0,-1990.0
20,2280.0,-2090.0
40,2290.0,-2120.0
60,2250.0,-2060.0
80,2300.0,-2100.0
100,2310.0,-2000.0
120,2280.0,-2040.0
140,2300.0,-2110.0
160,2350.0,-2110.0
180,2370.0,-2150.0
200,2320.0,-2120.0
220,2290.0,-2170.0
240,2270.0,-2200.0
260,2270.0,-2170.0
280,2300.0,-2170.0
300,2320.0,-2060.0
320,2290.0,-2120.0
340,2290.0,-2090.0
360,2250.0,-2090.0
380,2230.0,-2050.0
400,2200.0,-2120.0
420,2240.0,-2200.0
440,2270.0,-2180.0
460,2330.0,-2110.0
480,2230.0,-2120.0
500,2280.0,-2100.0
520,2280.0,-2180.0
540,2380.0,-2120.0
560,2330.0,-2190.0
580,2290.0,-2210.0
600,2350.0,-2140.0
620,2280.0,-2100.0
640,2240.0,-2140.0
660,2280.0,-2150.0
680,2270.0,-2160.0
700,2300.0,-2160.0
720,2350.0,-2150.0
740,2350.0,-2160.0
760,2340.0,-2140.0
780,2290.0,-2160.0
800,2260.0,-2160.0
820,2310.0,-2180.0
840,2270.0,-2170.0
860,2310.0,-2180.0
880,2310.0,-2080.0
900,2280.0,-2180.0
920,2330.0,-2130.0
940,2360.0,-2180.0
960,2370.0,-2180.0
980,2360.0,-2170.0
1000,2270.0,-2150.0
1020,2270.0,-2150.0
1040,2270.0,-2060.0
1060,2330.0,-2150.0
1080,2280.0,-2190.0
1100,2290.0,-2140.0
1120,2380.0,-2170.0
1140,2260.0,-2210.0
1160,2300.0,-2200.0
1180,2290.0,-2200.0
1200,2300.0,-2170.0
1220,2340.0,-2270.0
1240,2310.0,-2240.0
1260,2240.0,-2230.0
1280,2220.0,-2150.0
1300,2330.0,-2220.0
1320,2320.0,-2230.0
1340,2360.0,-2190.0
1360,2330.0,-2130.0
1380,2270.0,-2180.0
1400,2270.0,-2160.0
1420,2270.0,-2200.0
1440,2230.0,-2180.0
1460,2290.0,-2150.0
1480,2310.0,-2130.0
1500,2270.0,-2150.0
1520,2360.0,-2220.0
1540,2290.0,-2190.0
1560,2260.0,-2120.0
1580,2250.0,-2110.0
1600,2210.0,-2170.0
1620,2240.0,-2160.0
1640,2300.0,-2120.0
1660,2280.0,-2150.0
1680,2290.0,-2190.0
1700,2340.0,-2200.0
1720,2240.0,-2220.0
1740,2300.0,-2110.0
1760,2280.0,-2180.0
1780,2280.0,-2090.0
1800,2270.0,-2150.0
1820,2200.0,-2130.0
1840,2190.0,-2190.0
1860,2250.0,-2170.0
1880,2290.0,-2220.0
1900,2340.0,-2200.0
1920,2260.0,-2160.0
1940,2260.0,-2180.0
1960,2270.0,-2160.0
1980,2330.0,-2130.0
2000,2270.0,-2190.0
2020,2250.0,-2160.0
2040,2300.0,-2110.0
2060,2210.0,-2160.0
2080,2330.0,-2210.0
2100,2240.0,-2170.0
2120,2250.0,-2150.0
2140,2260.0,-2170.0
2160,2310.0,-2220.0
2180,2320.0,-2200.0
2200,2280.0,-2230.0
2220,2270.0,-2190.0
2240,2270.0,-2180.0
2260,2260.0,-2110.0
2280,2230.0,-2140.0
2300,2280.0,-2190.0
2320,2220.0,-2190.0
2340,2320.0,-2140.0
2360,2310.0,-2150.0
2380,2280.0,-2140.0
2400,2280.0,-2200.0
2420,2250.0,-2200.0
2440,2250.0,-2220.0
2460,2280.0,-2220.0
2480,2250.0,-2220.0
2500,2340.0,-2160.0
2520,2260.0,-2220.0
2540,2270.0,-2280.0
2560,2290.0,-2160.0
2580,2320.0,-2190.0
2600,2270.0,-2140.0
2620,2260.0,-2230.0
2640,2350.0,-2120.0
2660,2360.0,-2170.0
2680,2280.0,-2170.0
2700,2220.0,-2200.0
2720,2160.0,-2170.0
2740,2230.0,-2160.0
2760,2200.0,-2140.0
2780,2250.0,-2200.0
2800,2240.0,-2130.0
2820,2240.0,-2120.0
2840,2230.0,-2160.0
2860,2250.0,-2250.0
2880,2310.0,-2150.0
2900,2240.0,-2150.0
2920,2280.0,-2170.0
2940,2260.0,-2200.0
2960,2270.0,-2200.0
2980,2260.0,-2180.0
3000,2310.0,-2100.0
3020,2330.0,-2140.0
3040,2260.0,-2180.0
3060,2240.0,-2230.0
3080,2260.0,-2150.0
3100,2250.0,-2220.0
3120,2280.0,-2170.0
3140,2260.0,-2160.0
3160,2260.0,-2210.0
3180,2260.0,-2230.0
3200,2260.0,-2150.0
3220,2190.0,-2140.0
3240,2210.0,-2150.0
3260,2240.0,-2140.0
3280,2300.0,-2150.0
3300,2350.0,-2140.0
3320,2290.0,-2200.0
3340,2320.0,-2210.0
3360,2270.0,-2160.0
3380,2240.0,-2130.0
3400,2300.0,-2190.0
3420,2320.0,-2160.0
3440,2340.0,-2090.0
3460,2270.0,-2120.0
3480,2290.0,-2130.0
3500,2310.0,-2200.0
3520,2250.0,-2130.0
3540,2250.0,-2030.0
3560,2240.0,-2150.0
3580,2280.0,-2090.0
3600,2310.0,-2120.0
3620,2230.0,-2170.0
3640,2260.0,-2190.0
3660,2280.0,-2130.0
3680,2310.0,-2170.0
3700,2310.0,-2170.0
3720,2250.0,-2210.0
3740,2280.0,-2190.0
3760,2200.0,-2200.0
3780,2270.0,-2180.0
3800,2240.0,-2200.0
3820,2270.0,-2110.0
3840,2290.0,-2160.0
3860,2250.0,-2160.0
3880,2330.0,-2170.0
3900,2280.0,-2150.0
3920,2250.0,-2220.0
3940,2250.0,-2160.0
3960,2390.0,-2180.0
3980,2290.0,-2140.0
4000,2290.0,-2130.0
4020,2250.0,-2110.0
4040,2220.0,-2170.0
4060,2300.0,-2210.0
4080,2230.0,-2190.0
4100,2290.0,-2090.0
4120,2330.0,-2140.0
4140,2330.0,-2180.0
4160,2280.0,-2170.0
4180,2230.0,-2170.0
4200,2250.0,-2210.0
4220,2320.0,-2150.0
4240,2310.0,-2200.0
4260,2350.0,-2120.0
4280,2310.0,-2190.0
4300,2230.0,-2160.0
4320,2200.0,-2200.0
4340,2290.0,-2250.0
4360,2290.0,-2150.0
4380,2240.0,-2130.0
4400,2260.0,-2140.0
4420,2330.0,-2190.0
4440,2330.0,-2150.0
4460,2230.0,-2210.0
4480,2280.0,-2160.0
4500,2300.0,-2240.0
4520,2300.0,-2150.0
4540,2260.0,-2210.0
4560,2230.0,-2120.0
4580,2260.0,-2230.0
4600,2230.0,-2160.0
4620,2320.0,-2170.0
4640,2230.0,-2130.0
4660,2300.0,-2170.0
4680,2300.0,-2140.0
4700,2250.0,-2110.0
4720,2280.0,-2070.0
4740,2230.0,-2190.0
4760,2270.0,-2200.0
4780,2280.0,-2190.0
4800,2270.0,-2100.0
4820,2300.0,-2140.0
4840,2310.0,-2150.0
4860,2250.0,-2160.0
4880,2230.0,-2140.0
4900,2290.0,-2180.0
4920,2210.0,-2140.0
4940,2310.0,-2140.0
4960,2270.0,-2150.0
4980,2300.0,-2200.0
5000,2310.0,-2160.0
5020,2300.0,-2140.0
5040,2230.0,-2130.0
5060,2280.0,-2200.0
5080,2240.0,-2230.0
5100,2310.0,-2180.0
5120,2290.0,-2190.0
5140,2250.0,-2150.0
5160,2290.0,-2130.0
5180,2330.0,-2150.0
5200,2330.0,-2140.0
5220,2260.0,-2110.0
5240,2220.0,-2130.0
5260,2260.0,-2170.0
5280,2330.0,-2180.0
5300,2270.0,-2190.0
5320,2300.0,-2130.0
5340,2260.0,-2110.0
5360,2230.0,-2190.0
5380,2270.0,-2160.0
5400,2300.0,-2170.0
5420,2200.0,-2190.0
5440,2220.0,-2210.0
5460,2340.0,-2150.0
5480,2260.0,-2130.0
5500,2320.0,-2210.0
5520,2230.0,-2240.0
5540,2260.0,-2190.0
5560,2280.0,-2190.0
5580,2230.0,-2150.0
5600,2330.0,-2210.0
5620,2250.0,-2170.0
5640,2280.0,-2140.0
5660,2240.0,-2030.0
5680,2300.0,-2180.0
5700,2300.0,-2190.0
5720,2310.0,-2200.0
5740,2350.0,-2120.0
5760,2260.0,-2150.0
5780,2260.0,-2230.0
5800,2280.0,-2160.0
5820,2250.0,-2130.0
5840,2260.0,-2210.0
5860,2240.0,-2150.0
5880,2280.0,-2180.0
5900,2260.0,-2170.0
5920,2280.0,-2180.0
5940,2250.0,-2180.0
5960,2260.0,-2120.0
5980,2280.0,-2160.0
6000,2190.0,-2210.0
6020,2240.0,-2240.0
6040,2190.0,-2290.0
6060,2300.0,-2190.0
6080,2280.0,-2170.0
6100,2210.0,-2160.0
6120,2260.0,-2190.0
6140,2290.0,-2150.0
6160,2280.0,-2210.0
6180,2260.0,-2150.0
6200,2280.0,-2180.0
6220,2330.0,-2240.0
6240,2250.0,-2180.0
6260,2250.0,-2180.0
6280,2220.0,-2200.0
6300,2270.0,-2150.0
6320,2200.0,-2190.0
6340,2210.0,-2190.0
6360,2260.0,-2170.0
6380,2270.0,-2150.0
6400,2260.0,-2110.0
6420,2240.0,-2180.0
6440,2280.0,-2190.0
6460,2280.0,-2220.0
6480,2310.0,-2130.0
6500,2210.0,-2160.0
6520,2260.0,-2140.0
6540,2270.0,-2210.0
6560,2250.0,-2110.0
6580,2280.0,-2100.0
6600,2250.0,-2110.0
6620,2290.0,-2200.0
6640,2290.0,-2160.0
6660,2250.0,-2150.0
6680,2280.0,-2110.0
6700,2230.0,-2210.0
6720,2220.0,-2160.0
6740,2250.0,-2160.0
6760,2280.0,-2180.0
6780,2300.0,-2170.0
6800,2280.0,-2180.0
6820,2220.0,-2220.0
6840,2250.0,-2140.0
6860,2310.0,-2170.0
6880,2240.0,-2130.0
6900,2280.0,-2210.0
6920,2260.0,-2120.0
6940,2210.0,-2190.0
6960,2320.0,-2160.0
6980,2290.0,-2220.0
7000,2270.0,-2140.0
7020,2230.0,-2190.0
7040,2290.0,-2140.0
7060,2240.0,-2100.0
7080,2210.0,-2140.0
7100,2230.0,-2200.0
7120,2270.0,-2130.0
7140,2310.0,-2170.0
7160,2250.0,-2180.0
7180,2270.0,-2220.0
7200,2280.0,-2150.0
7220,2300.0,-2230.0
7240,2290.0,-2190.0
7260,2310.0,-2120.0
7280,2280.0,-2120.0
7300,2330.0,-2200.0
7320,2310.0,-2170.0
7340,2250.0,-2140.0
7360,2310.0,-2150.0
7380,2290.0,-2180.0
7400,2280.0,-2220.0
7420,2370.0,-2160.0
7440,2290.0,-2130.0
7460,2280.0,-2110.0
7480,2240.0,-2190.0
7500,2230.0,-2170.0
7520,2300.0,-2110.0
7540,2320.0,-2140.0
7560,2300.0,-2210.0
7580,2240.0,-2110.0
7600,2240.0,-2160.0
7620,2210.0,-2190.0
7640,2200.0,-2200.0
7660,2270.0,-2150.0
7680,2250.0,-2160.0
7700,2320.0,-2130.0
7720,2240.0,-2230.0
7740,2330.0,-2110.0
7760,2290.0,-2180.0
7780,2350.0,-2100.0
7800,2320.0,-2140.0
7820,2250.0,-2120.0
7840,2270.0,-2210.0
7860,2280.0,-2160.0
7880,2340.0,-2150.0
7900,2280.0,-2210.0
7920,2390.0,-2220.0
7940,2310.0,-2210.0
7960,2410.0,-2260.0
7980,2390.0,-2300.0
8000,2450.0,-2330.0
8020,2440.0,-2270.0
8040,2480.0,-2280.0
8060,2520.0,-2370.0
8080,2520.0,-2430.0
8100,2630.0,-2450.0
8120,2620.0,-2440.0
8140,2650.0,-2540.0
8160,2680.0,-2540.0
8180,2650.0,-2560.0
8200,2660.0,-2630.0
8220,2680.0,-2660.0
8240,2770.0,-2720.0
8260,2820.0,-2650.0
8280,2860.0,-2720.0
8300,2860.0,-2710.0
8320,2880.0,-2750.0
8340,2870.0,-2720.0
8360,2890.0,-2780.0
8380,2840.0,-2710.0
8400,2880.0,-2700.0
8420,2910.0,-2680.0
8440,2950.0,-2660.0
8460,2920.0,-2740.0
8480,2950.0,-2700.0
8500,2950.0,-2800.0
8520,2940.0,-2790.0
8540,3010.0,-2730.0
8560,2950.0,-2800.0
8580,3010.0,-2840.0
8600,2960.0,-2860.0
8620,2930.0,-2790.0
8640,2970.0,-2800.0
8660,3030.0,-2840.0
8680,3000.0,-2870.0
8700,3000.0,-2840.0
8720,2970.0,-2860.0
8740,3010.0,-2880.0
8760,2980.0,-2930.0
8780,2970.0,-2920.0
8800,3050.0,-2900.0
8820,3020.0,-2890.0
8840,3040.0,-2920.0
8860,2980.0,-2920.0
8880,2970.0,-2960.0
8900,3010.0,-2910.0
8920,2980.0,-2940.0
8940,3060.0,-2920.0
8960,3010.0,-2910.0
8980,2980.0,-2860.0
9000,2970.0,-2700.0
9020,3010.0,-2750.0
9040,3020.0,-2810.0
9060,3010.0,-2780.0
9080,3010.0,-2790.0
9100,2990.0,-2750.0
9120,3000.0,-2820.0
9140,3030.0,-2800.0
9160,3010.0,-2790.0
9180,2990.0,-2800.0
9200,3030.0,-2850.0
9220,2970.0,-2930.0
9240,2940.0,-2830.0
9260,3000.0,-2820.0
9280,3060.0,-2800.0
9300,3080.0,-2790.0
9320,3050.0,-2810.0
9340,2990.0,-2840.0
9360,3050.0,-2790.0
9380,3080.0,-2740.0
9400,2970.0,-2810.0
9420,3010.0,-2850.0
9440,3050.0,-2840.0
9460,3010.0,-2920.0
9480,3020.0,-2850.0
9500,2990.0,-2930.0
9520,3060.0,-2870.0
9540,2990.0,-2860.0
9560,3030.0,-2830.0
9580,2980.0,-2830.0
9600,3020.0,-2770.0
9620,2960.0,-2770.0
9640,3040.0,-2770.0
9660,3070.0,-2850.0
9680,3040.0,-2910.0
9700,3040.0,-2860.0
9720,3010.0,-2920.0
9740,2980.0,-2870.0
9760,3010.0,-2830.0
9780,3060.0,-2800.0
9800,3010.0,-2840.0
9820,2980.0,-2840.0
9840,3000.0,-2810.0
9860,3050.0,-2900.0
9880,3070.0,-2920.0
9900,3050.0,-2970.0
9920,3040.0,-2930.0
9940,2980.0,-2920.0
9960,3050.0,-2950.0
9980,3050.0,-2930.0
10000,3070.0,-2890.0
10020,3100.0,-2920.0
10040,3130.0,-2920.0
10060,3060.0,-2870.0
10080,3000.0,-2910.0
10100,3080.0,-2840.0
10120,3040.0,-2870.0
10140,3010.0,-2860.0
10160,3060.0,-2750.0
10180,3010.0,-2820.0
10200,3030.0,-2830.0
10220,3040.0,-2830.0
10240,3000.0,-2820.0
10260,2990.0,-2840.0
10280,2990.0,-2830.0
10300,3010.0,-2880.0
10320,3020.0,-2840.0
10340,3030.0,-2880.0
10360,3010.0,-2870.0
10380,3040.0,-2910.0
10400,3010.0,-2870.0
10420,3100.0,-2850.0
10440,3040.0,-2750.0
10460,3020.0,-2760.0
10480,3040.0,-2770.0
10500,3110.0,-2980.0
10520,3040.0,-2850.0
10540,3020.0,-2810.0
10560,3050.0,-2800.0
