time,c1,c2
0,2230.0,-2180.0
20,2230.0,-2100.0
40,2210.0,-2130.0
60,2130.0,-2100.0
80,2090.0,-2070.0
100,2130.0,-2110.0
120,2140.0,-2150.0
140,2100.0,-2090.0
160,2120.0,-2090.0
180,2180.0,-2130.0
200,2130.0,-2160.0
220,2100.0,-2080.0
240,2130.0,-2080.0
260,2160.0,-2130.0
280,2170.0,-2180.0
300,2210.0,-2110.0
320,2150.0,-2180.0
340,2200.0,-2130.0
360,2290.0,-2150.0
380,2170.0,-2170.0
400,2230.0,-2080.0
420,2250.0,-2080.0
440,2270.0,-2180.0
460,2260.0,-2110.0
480,2280.0,-2070.0
500,2270.0,-2010.0
520,2180.0,-2110.0
540,2230.0,-2010.0
560,2200.0,-2050.0
580,2220.0,-2070.0
600,2290.0,-2080.0
620,2190.0,-2110.0
640,2170.0,-2130.0
660,2230.0,-2090.0
680,2250.0,-2190.0
700,2200.0,-2210.0
720,2230.0,-2070.0
740,2260.0,-2150.0
760,2230.0,-2200.0
780,2130.0,-2180.0
800,2190.0,-2190.0
820,2250.0,-2180.0
840,2270.0,-2180.0
860,2270.0,-2210.0
880,2250.0,-2150.0
900,2250.0,-2130.0
920,2150.0,-2160.0
940,2210.0,-2070.0
960,2240.0,-2070.0
980,2190.0,-2180.0
1000,2320.0,-2070.0
1020,2260.0,-2070.0
1040,2250.0,-2110.0
1060,2230.0,-2160.0
1080,2280.0,-2130.0
1100,2260.0,-2130.0
1120,2280.0,-2040.0
1140,2250.0,-2170.0
1160,2270.0,-2130.0
1180,2310.0,-2070.0
1200,2280.0,-2070.0
1220,2260.0,-2190.0
1240,2260.0,-2150.0
1260,2330.0,-2140.0
1280,2230.0,-2080.0
1300,2210.0,-2150.0
1320,2260.0,-2090.0
1340,2250.0,-2060.0
1360,2210.0,-2080.0
1380,2240.0,-2150.0
1400,2210.0,-2150.0
1420,2140.0,-2110.0
1440,2230.0,-2120.0
1460,2240.0,-2160.0
1480,2190.0,-2160.0
1500,2180.0,-2070.0
1520,2230.0,-2110.0
1540,2200.0,-2120.0
1560,2290.0,-2070.0
1580,2230.0,-2120.0
1600,2290.0,-2120.0
1620,2300.0,-2200.0
1640,2270.0,-2200.0
1660,2210.0,-2190.0
1680,2220.0,-2160.0
1700,2240.0,-2160.0
1720,2260.0,-2110.0
1740,2230.0,-2120.0
1760,2200.0,-2180.0
1780,2250.0,-2180.0
1800,2270.0,-2100.0
1820,2260.0,-2100.0
1840,2210.0,-2160.0
1860,2180.0,-2080.0
1880,2240.0,-2050.0
1900,2300.0,-2060.0
1920,2240.0,-2130.0
1940,2200.0,-2110.0
1960,2260.0,-2100.0
1980,2220.0,-2070.0
2000,2240.0,-2210.0
2020,2160.0,-2120.0
2040,2240.0,-2080.0
2060,2240.0,-2060.0
2080,2260.0,-2140.0
2100,2260.0,-2150.0
2120,2240.0,-2120.0
2140,2230.0,-2090.0
2160,2260.0,-2180.0
2180,2210.0,-2080.0
2200,2180.0,-2080.0
2220,2250.0,-2120.0
2240,2250.0,-2180.0
2260,2200.0,-2080.0
2280,2200.0,-2120.0
2300,2190.0,-2110.0
2320,2220.0,-2130.0
2340,2280.0,-2140.0
2360,2250.0,-2130.0
2380,2230.0,-2150.0
2400,2300.0,-2160.0
2420,2260.0,-2190.0
2440,2260.0,-2140.0
2460,2200.0,-2190.0
2480,2210.0,-2130.0
2500,2240.0,-2150.0
2520,2200.0,-2070.0
2540,2150.0,-2170.0
2560,2220.0,-2090.0
2580,2200.0,-2110.0
2600,2220.0,-2070.0
2620,2240.0,-2170.0
2640,2190.0,-2120.0
2660,2200.0,-2120.0
2680,2190.0,-2100.0
2700,2240.0,-2130.0
2720,2200.0,-2130.0
2740,2260.0,-2090.0
2760,2290.0,-2140.0
2780,2200.0,-2160.0
2800,2180.0,-2100.0
2820,2180.0,-2100.0
2840,2200.0,-2100.0
2860,2180.0,-2100.0
2880,2160.0,-2100.0
2900,2170.0,-2120.0
2920,2220.0,-2120.0
2940,2240.0,-2160.0
2960,2190.0,-2120.0
2980,2160.0,-2060.0
3000,2320.0,-2210.0
3020,2270.0,-2250.0
3040,2230.0,-2230.0
3060,2180.0,-2120.0
3080,2210.0,-2130.0
3100,2260.0,-2090.0
3120,2270.0,-2130.0
3140,2230.0,-2060.0
3160,2200.0,-2190.0
3180,2230.0,-2120.0
3200,2260.0,-2160.0
3220,2210.0,-2070.0
3240,2180.0,-2200.0
3260,2200.0,-2220.0
3280,2210.0,-2120.0
3300,2200.0,-2070.0
3320,2190.0,-2130.0
3340,2240.0,-2140.0
3360,2210.0,-2050.0
3380,2260.0,-2110.0
3400,2210.0,-2130.0
3420,2210.0,-2140.0
3440,2230.0,-2180.0
3460,2300.0,-2120.0
3480,2300.0,-2130.0
3500,2210.0,-2090.0
3520,2200.0,-2090.0
3540,2200.0,-2090.0
3560,2180.0,-2110.0
3580,2210.0,-2120.0
3600,2240.0,-2040.0
3620,2210.0,-2120.0
3640,2240.0,-2080.0
3660,2200.0,-2100.0
3680,2120.0,-2100.0
3700,2210.0,-2170.0
3720,2250.0,-2070.0
3740,2220.0,-2070.0
3760,2190.0,-2020.0
3780,2250.0,-2160.0
3800,2220.0,-2080.0
3820,2290.0,-2130.0
3840,2220.0,-2070.0
3860,2250.0,-2150.0
3880,2240.0,-2120.0
3900,2190.0,-2110.0
3920,2280.0,-2080.0
3940,2230.0,-2150.0
3960,2220.0,-2160.0
3980,2260.0,-2090.0
4000,2270.0,-2080.0
4020,2170.0,-2160.0
4040,2260.0,-2160.0
4060,2240.0,-2140.0
4080,2240.0,-2120.0
4100,2180.0,-2170.0
4120,2260.0,-2110.0
4140,2240.0,-2090.0
4160,2230.0,-2140.0
4180,2230.0,-2130.0
4200,2170.0,-2040.0
4220,2160.0,-2040.0
4240,2200.0,-2130.0
4260,2190.0,-2100.0
4280,2190.0,-2110.0
4300,2200.0,-2060.0
4320,2250.0,-2120.0
4340,2220.0,-2080.0
4360,2300.0,-2120.0
4380,2290.0,-2090.0
4400,2150.0,-2120.0
4420,2190.0,-2110.0
4440,2240.0,-2080.0
4460,2210.0,-2060.0
4480,2260.0,-2140.0
4500,2240.0,-2110.0
4520,2180.0,-2090.0
4540,2220.0,-2100.0
4560,2270.0,-2150.0
4580,2250.0,-2140.0
4600,2240.0,-2150.0
4620,2240.0,-2100.0
4640,2300.0,-2140.0
4660,2250.0,-2090.0
4680,2300.0,-2120.0
4700,2200.0,-2050.0
4720,2180.0,-2090.0
4740,2250.0,-2050.0
4760,2300.0,-2090.0
4780,2270.0,-2140.0
4800,2140.0,-2090.0
4820,2280.0,-2060.0
4840,2180.0,-2070.0
4860,2210.0,-2140.0
4880,2280.0,-2090.0
4900,2230.0,-2090.0
4920,2230.0,-2020.0
4940,2300.0,-2130.0
4960,2250.0,-2120.0
4980,2200.0,-2120.0
5000,2300.0,-2080.0
5020,2320.0,-2110.0
5040,2220.0,-2170.0
5060,2210.0,-2100.0
5080,2290.0,-2050.0
5100,2220.0,-2100.0
5120,2200.0,-2080.0
5140,2140.0,-2020.0
5160,2170.0,-2120.0
5180,2210.0,-2160.0
5200,2280.0,-2110.0
5220,2200.0,-2160.0
5240,2110.0,-2130.0
5260,2140.0,-2120.0
5280,2190.0,-2060.0
5300,2120.0,-2140.0
5320,2160.0,-2110.0
5340,2270.0,-2130.0
5360,2180.0,-2090.0
5380,2160.0,-2020.0
5400,2170.0,-2160.0
5420,2110.0,-2150.0
5440,2200.0,-2100.0
5460,2190.0,-2080.0
5480,2180.0,-2160.0
5500,2160.0,-2080.0
5520,2170.0,-2090.0
5540,2180.0,-2080.0
5560,2230.0,-2120.0
5580,2280.0,-2120.0
5600,2230.0,-2140.0
5620,2210.0,-2090.0
5640,2210.0,-2200.0
5660,2240.0,-2170.0
5680,2180.0,-2150.0
5700,2210.0,-2080.0
5720,2220.0,-2170.0
5740,2210.0,-2160.0
5760,2200.0,-2140.0
5780,2150.0,-2060.0
5800,2260.0,-2120.0
5820,2120.0,-2120.0
5840,2170.0,-2130.0
5860,2220.0,-2100.0
5880,2130.0,-2170.0
5900,2210.0,-2200.0
5920,2190.0,-2130.0
5940,2220.0,-2100.0
5960,2250.0,-2140.0
5980,2280.0,-2110.0
6000,2280.0,-2110.0
6020,2260.0,-2090.0
6040,2260.0,-2150.0
6060,2270.0,-2130.0
6080,2300.0,-2070.0
6100,2240.0,-2150.0
6120,2300.0,-2080.0
6140,2250.0,-2120.0
6160,2260.0,-2120.0
6180,2230.0,-2140.0
6200,2280.0,-2100.0
6220,2260.0,-2090.0
6240,2300.0,-2030.0
6260,2220.0,-2160.0
6280,2200.0,-2100.0
6300,2220.0,-2120.0
6320,2280.0,-2100.0
6340,2230.0,-2220.0
6360,2190.0,-2180.0
6380,2200.0,-2090.0
6400,2140.0,-2060.0
6420,2120.0,-2160.0
6440,2170.0,-2150.0
6460,2150.0,-2060.0
6480,2170.0,-2110.0
6500,2260.0,-2170.0
6520,2260.0,-2130.0
6540,2190.0,-2200.0
6560,2200.0,-2120.0
6580,2210.0,-2130.0
6600,2220.0,-2070.0
6620,2140.0,-2060.0
6640,2230.0,-2130.0
6660,2230.0,-2140.0
6680,2260.0,-2100.0
6700,2280.0,-2120.0
6720,2220.0,-2150.0
6740,2210.0,-2090.0
6760,2270.0,-2090.0
6780,2240.0,-2050.0
6800,2210.0,-2160.0
6820,2290.0,-2080.0
6840,2250.0,-2070.0
6860,2190.0,-2030.0
6880,2190.0,-2150.0
6900,2290.0,-2110.0
6920,2200.0,-2110.0
6940,2250.0,-2090.0
6960,2300.0,-2150.0
6980,2240.0,-2160.0
7000,2280.0,-2250.0
7020,2240.0,-2180.0
7040,2360.0,-2260.0
7060,2360.0,-2270.0
7080,2400.0,-2250.0
7100,2320.0,-2220.0
7120,2300.0,-2260.0
7140,2430.0,-2390.0
7160,2430.0,-2510.0
7180,2500.0,-2500.0
7200,2510.0,-2500.0
7220,2580.0,-2500.0
7240,2570.0,-2530.0
7260,2620.0,-2490.0
7280,2720.0,-2580.0
7300,2620.0,-2560.0
7320,2700.0,-2670.0
7340,2750.0,-2650.0
7360,2770.0,-2640.0
7380,2730.0,-2740.0
7400,2780.0,-2750.0
7420,2830.0,-2830.0
7440,2890.0,-2820.0
7460,2920.0,-2840.0
7480,2950.0,-2880.0
7500,2920.0,-2760.0
7520,2930.0,-2800.0
7540,2990.0,-2780.0
7560,2950.0,-2870.0
7580,2960.0,-2840.0
7600,2970.0,-2930.0
7620,2970.0,-2880.0
7640,2980.0,-2890.0
7660,2990.0,-2840.0
7680,2940.0,-2870.0
7700,3010.0,-2940.0
7720,3000.0,-2910.0
7740,3020.0,-2970.0
7760,3060.0,-2960.0
7780,3040.0,-2920.0
7800,3080.0,-2900.0
7820,3030.0,-2870.0
7840,3010.0,-2920.0
7860,2870.0,-3030.0
7880,2970.0,-2960.0
7900,2910.0,-2990.0
7920,2940.0,-2940.0
7940,2980.0,-2920.0
7960,3040.0,-2950.0
7980,3030.0,-2920.0
8000,2970.0,-2970.0
8020,3030.0,-2910.0
8040,2960.0,-2920.0
8060,2980.0,-2930.0
8080,2950.0,-2900.0
8100,2960.0,-2950.0
8120,3030.0,-2960.0
8140,2920.0,-2900.0
8160,2960.0,-2950.0
8180,2960.0,-2980.0
8200,2930.0,-2950.0
8220,3020.0,-2930.0
8240,2990.0,-2910.0
8260,3020.0,-2990.0
8280,3030.0,-2900.0
8300,2940.0,-2890.0
8320,2990.0,-2890.0
8340,3020.0,-2850.0
8360,3030.0,-2930.0
8380,2980.0,-2830.0
8400,3000.0,-2830.0
8420,2970.0,-2810.0
8440,3080.0,-2790.0
8460,3020.0,-2810.0
8480,2990.0,-2870.0
8500,3050.0,-2820.0
8520,3030.0,-2790.0
8540,3030.0,-2910.0
8560,2990.0,-2910.0
8580,2990.0,-2950.0
8600,3090.0,-2990.0
8620,3000.0,-2920.0
8640,3040.0,-3010.0
8660,3050.0,-2970.0
8680,2980.0,-2930.0
8700,3060.0,-2940.0
8720,3030.0,-3010.0
8740,2960.0,-3080.0
8760,2950.0,-2980.0
8780,3030.0,-2970.0
8800,3040.0,-3020.0
8820,2960.0,-3100.0
8840,3030.0,-3040.0
8860,3090.0,-3010.0
8880,3020.0,-2970.0
8900,3060.0,-2930.0
8920,3020.0,-2990.0
8940,2980.0,-2930.0
8960,3000.0,-3000.0
8980,3020.0,-2910.0
9000,3060.0,-3040.0
9020,2980.0,-2960.0
9040,3010.0,-2940.0
9060,3010.0,-2980.0
9080,2940.0,-2930.0
9100,2930.0,-2950.0
9120,3000.0,-2910.0
9140,2930.0,-2930.0
9160,2950.0,-2920.0
9180,3020.0,-3020.0
9200,2950.0,-2900.0
9220,3040.0,-2820.0
9240,3060.0,-2920.0
9260,3000.0,-2940.0
9280,3040.0,-2930.0
9300,3090.0,-3000.0
9320,3050.0,-2960.0
9340,3070.0,-3040.0
9360,3030.0,-3080.0
9380,3030.0,-3010.0
9400,2970.0,-3040.0
9420,3030.0,-2980.0
9440,3040.0,-2990.0
9460,2950.0,-3040.0
9480,3000.0,-2950.0
9500,3080.0,-2990.0
9520,3000.0,-2960.0
9540,3010.0,-2930.0
9560,2910.0,-2950.0
9580,3000.0,-2900.0
9600,2960.0,-2960.0
9620,2920.0,-3020.0
9640,3000.0,-2950.0
9660,2980.0,-3020.0
9680,2920.0,-2990.0
9700,2980.0,-3000.0
9720,2930.0,-3010.0
9740,2900.0,-2980.0
9760,2950.0,-2930.0
9780,3020.0,-2950.0
9800,3060.0,-2910.0
9820,3100.0,-2950.0
9840,3040.0,-3030.0
9860,3040.0,-2990.0
9880,3010.0,-2910.0
9900,3030.0,-3000.0
9920,3060.0,-3010.0
9940,3040.0,-2990.0
9960,3070.0,-2990.0
9980,2980.0,-3030.0
10000,3130.0,-2840.0
10020,3130.0,-2900.0
10040,3050.0,-2890.0
10060,3080.0,-2850.0
10080,2980.0,-2900.0
10100,3020.0,-2920.0
10120,3050.0,-2970.0
10140,3030.0,-2900.0
10160,2940.0,-2920.0
10180,2990.0,-2850.0
10200,2960.0,-2790.0
10220,2990.0,-2830.0
10240,2960.0,-2860.0
10260,3040.0,-2810.0
10280,2990.0,-2830.0
10300,2990.0,-2850.0
10320,3070.0,-2940.0
10340,2980.0,-2960.0
10360,3040.0,-2970.0
10380,2980.0,-2960.0
10400,2930.0,-2880.0
10420,2960.0,-2820.0
10440,3010.0,-2900.0
10460,2980.0,-2870.0
10480,2970.0,-2830.0
10500,3110.0,-2920.0
10520,3100.0,-3000.0
10540,3120.0,-3060.0
10560,3120.0,-2980.0
10580,3120.0,-3000.0
10600,3070.0,-2930.0
10620,3040.0,-3030.0
10640,3110.0,-3040.0
10660,3020.0,-2960.0
10680,3040.0,-3030.0
10700,2990.0,-3020.0
10720,2960.0,-2910.0
10740,2940.0,-2990.0
10760,2980.0,-2940.0
10780,2940.0,-2950.0
10800,2990.0,-2990.0
10820,3010.0,-2910.0
10840,3040.0,-2800.0
10860,2980.0,-2820.0
10880,2930.0,-2880.0
10900,2930.0,-2950.0
10920,2920.0,-2940.0
10940,2980.0,-2950.0
10960,3040.0,-3070.0
10980,3010.0,-3070.0
11000,3080.0,-2930.0
11020,3060.0,-2950.0
11040,3040.0,-2890.0
11060,3010.0,-2920.0
11080,3060.0,-2900.0
11100,2990.0,-3020.0
11120,3120.0,-2980.0
11140,3100.0,-2940.0
11160,3110.0,-2930.0
11180,2970.0,-2980.0
11200,2990.0,-2910.0
11220,2980.0,-2930.0
11240,2980.0,-2870.0
11260,3020.0,-2910.0
11280,3040.0,-2900.0
11300,2980.0,-2910.0
11320,2950.0,-2980.0
11340,2960.0,-2960.0
11360,2960.0,-2920.0
11380,3010.0,-2900.0
11400,2950.0,-2970.0
11420,2970.0,-3020.0
11440,2990.0,-2980.0
11460,3050.0,-3010.0
11480,2990.0,-3060.0
11500,3250.0,-2940.0
11520,3200.0,-2990.0
11540,3170.0,-3010.0
11560,3100.0,-3000.0
11580,3030.0,-2970.0
11600,2970.0,-3050.0
11620,3010.0,-2920.0
11640,3000.0,-2920.0
11660,2950.0,-2920.0
11680,3010.0,-2890.0
11700,3000.0,-2930.0
11720,2980.0,-2910.0
11740,2990.0,-2980.0
11760,3020.0,-3010.0
11780,3060.0,-2920.0
11800,2980.0,-3010.0
11820,3020.0,-2920.0
11840,3000.0,-2840.0
11860,2950.0,-2920.0
11880,3040.0,-2900.0
11900,3010.0,-2790.0
11920,2960.0,-2880.0
11940,2950.0,-2930.0
11960,2970.0,-3010.0
11980,2980.0,-2960.0
12000,3100.0,-2920.0
12020,2990.0,-2990.0
12040,3090.0,-3020.0
12060,3010.0,-3010.0
12080,3030.0,-3020.0
12100,2990.0,-2970.0
12120,2990.0,-2960.0
12140,3030.0,-2910.0
12160,3010.0,-2960.0
12180,2950.0,-3010.0
12200,3060.0,-2980.0
12220,3040.0,-2990.0
12240,2990.0,-2980.0
12260,2980.0,-3070.0
12280,2970.0,-3010.0
12300,2980.0,-2920.0
12320,2960.0,-2960.0
12340,3020.0,-2950.0
12360,3020.0,-2920.0
12380,3020.0,-3000.0
12400,3050.0,-2960.0
12420,2990.0,-2950.0
12440,2990.0,-3000.0
12460,3010.0,-2890.0
12480,2960.0,-2990.0
12500,3020.0,-2860.0
12520,3030.0,-2950.0
12540,2980.0,-2920.0
12560,3070.0,-3020.0
12580,3020.0,-3010.0
12600,3010.0,-3030.0
12620,2960.0,-2930.0
12640,2910.0,-2900.0
12660,2970.0,-2930.0
12680,2970.0,-2880.0
12700,3090.0,-2970.0
12720,3060.0,-2930.0
12740,3020.0,-2870.0
12760,3110.0,-2910.0
12780,3130.0,-2900.0
12800,3060.0,-2860.0
12820,2990.0,-3000.0
12840,2970.0,-2990.0
12860,2980.0,-2990.0
12880,3010.0,-3040.0
12900,3050.0,-3010.0
12920,3080.0,-3020.0
12940,2960.0,-2980.0
12960,2990.0,-3030.0
12980,3020.0,-3090.0
13000,3100.0,-2920.0
13020,3060.0,-2950.0
13040,2970.0,-2940.0
13060,3030.0,-3030.0
13080,2980.0,-3020.0
13100,2970.0,-2970.0
13120,2990.0,-2920.0
13140,2980.0,-2970.0
13160,3010.0,-2990.0
13180,2950.0,-2940.0
13200,2930.0,-2960.0
13220,3010.0,-3030.0
13240,2940.0,-3080.0
13260,2990.0,-2950.0
13280,3010.0,-2930.0
13300,2980.0,-2850.0
13320,3080.0,-2960.0
13340,3030.0,-2880.0
13360,2980.0,-2980.0
13380,2990.0,-2920.0
13400,3010.0,-2910.0
13420,2990.0,-2880.0
13440,3020.0,-2890.0
13460,3000.0,-2880.0
13480,2980.0,-2860.0
13500,3160.0,-3030.0
13520,3110.0,-2960.0
13540,2980.0,-2980.0
13560,2990.0,-2940.0
13580,3000.0,-2910.0
13600,2970.0,-2920.0
13620,3000.0,-2830.0
13640,3010.0,-2850.0
13660,3010.0,-2900.0
13680,3020.0,-2910.0
13700,3030.0,-2930.0
13720,3020.0,-2940.0
13740,3010.0,-2910.0
13760,3020.0,-2950.0
13780,3050.0,-3050.0
13800,2930.0,-3020.0
13820,2920.0,-3010.0
13840,2980.0,-2950.0
13860,2980.0,-2910.0
13880,2900.0,-2900.0
13900,2940.0,-2850.0
13920,2960.0,-2890.0
13940,2990.0,-2980.0
13960,2920.0,-3050.0
13980,2990.0,-3020.0
14000,2980.0,-2990.0
14020,2920.0,-3020.0
14040,2950.0,-3030.0
14060,3000.0,-2940.0
14080,3060.0,-2940.0
14100,2980.0,-2910.0
14120,3010.0,-2920.0
14140,3000.0,-2930.0
