time,c1,q1,axis1_deg,c2,q2,axis2_deg
0,3800.0,1.0,0.0,-3780.0,1.0,0.0
20,3840.0,1.0,0.0,-3770.0,0.800000011920929,0.0
40,3800.0,1.0,0.0,-3860.0,1.0,0.0
60,3870.0,1.0,0.0,-3740.0,1.0,0.0
80,3790.0,1.0,0.0,-3660.0,0.9599999785423279,0.0
100,3830.0,1.0,0.0,-3680.0,0.9200000166893005,0.0
120,3840.0,1.0,0.0,-3680.0,1.0,0.0
140,3890.0,1.0,0.0,-3650.0,0.8399999737739563,0.0
160,3840.0,1.0,0.0,-3700.0,1.0,0.0
180,3800.0,1.0,0.0,-3620.0,0.9599999785423279,0.0
200,3790.0,1.0,0.0,-3800.0,0.9599999785423279,0.0
220,3800.0,1.0,0.0,-3730.0,1.0,0.0
240,3870.0,0.9599999785423279,0.0,-3650.0,0.800000011920929,0.0
260,3830.0,0.9599999785423279,0.0,-3800.0,1.0,0.0
280,3890.0,0.9599999785423279,0.0,-3660.0,1.0,0.0
300,3880.0,1.0,0.0,-3790.0,1.0,0.0
320,3850.0,1.0,0.0,-3780.0,0.9599999785423279,0.0
340,3840.0,1.0,0.0,-3630.0,0.800000011920929,0.0
360,3800.0,1.0,0.0,-3750.0,0.9599999785423279,0.0
380,3790.0,1.0,0.0,-3670.0,1.0,0.0
400,3810.0,1.0,0.0,-3760.0,1.0,0.0
420,3840.0,1.0,0.0,-3760.0,0.9599999785423279,0.0
440,3890.0,0.9599999785423279,0.0,-3680.0,1.0,0.0
460,3820.0,1.0,0.0,-3750.0,1.0,0.0
480,3850.0,0.9599999785423279,0.0,-3740.0,0.9599999785423279,0.0
500,3780.0,0.9599999785423279,0.0,-3730.0,1.0,0.0
520,3820.0,1.0,0.0,-3800.0,0.9599999785423279,0.0
540,3830.0,1.0,0.0,-3730.0,1.0,0.0
560,3790.0,1.0,0.0,-3670.0,1.0,0.0
580,3760.0,1.0,0.0,-3810.0,1.0,0.0
600,3800.0,0.9599999785423279,0.0,-3610.0,1.0,0.0
620,3870.0,1.0,0.0,-3660.0,1.0,0.0
640,3840.0,1.0,0.0,-3690.0,1.0,0.0
660,,,,,,
680,3820.0,1.0,0.0,-3710.0,1.0,0.0
700,3880.0,1.0,0.0,-3760.0,0.9200000166893005,0.0
720,3810.0,1.0,0.0,-3740.0,1.0,0.0
740,3800.0,1.0,0.0,-3790.0,1.0,0.0
760,3780.0,1.0,0.0,-3810.0,1.0,0.0
780,3850.0,1.0,0.0,-3730.0,1.0,0.0
800,3790.0,1.0,0.0,-3720.0,1.0,0.0
820,3770.0,1.0,0.0,-3770.0,0.9200000166893005,0.0
840,3810.0,1.0,0.0,-3650.0,1.0,0.0
860,3850.0,1.0,0.0,-3660.0,0.9200000166893005,0.0
880,3840.0,0.9599999785423279,0.0,-3660.0,0.9599999785423279,0.0
900,3850.0,1.0,0.0,-3690.0,1.0,0.0
920,3800.0,1.0,0.0,-3650.0,1.0,0.0
940,3770.0,1.0,0.0,-3700.0,1.0,0.0
960,3800.0,1.0,0.0,-3580.0,1.0,0.0
980,3760.0,1.0,0.0,-3670.0,1.0,0.0
1000,3890.0,1.0,0.0,-3640.0,0.9599999785423279,0.0
1020,3830.0,0.9599999785423279,0.0,-3680.0,1.0,0.0
1040,3780.0,0.9599999785423279,0.0,-3670.0,1.0,0.0
1060,3890.0,1.0,0.0,-3680.0,1.0,0.0
1080,3850.0,1.0,0.0,-3670.0,0.800000011920929,0.0
1100,3850.0,0.9599999785423279,0.0,-3730.0,1.0,0.0
1120,3820.0,1.0,0.0,-3750.0,0.9599999785423279,0.0
1140,3790.0,1.0,0.0,-3720.0,1.0,0.0
1160,3840.0,1.0,0.0,-3840.0,1.0,0.0
1180,3770.0,1.0,0.0,-3740.0,1.0,0.0
1200,3780.0,1.0,0.0,-3710.0,0.9200000166893005,0.0
1220,3850.0,0.9599999785423279,0.0,-3680.0,0.9200000166893005,0.0
1240,3830.0,1.0,0.0,-3720.0,0.800000011920929,0.0
1260,3780.0,1.0,0.0,-3770.0,1.0,0.0
1280,3820.0,1.0,0.0,-3680.0,1.0,0.0
1300,3830.0,1.0,0.0,-3620.0,1.0,0.0
1320,3890.0,1.0,0.0,-3680.0,0.9599999785423279,0.0
1340,3830.0,1.0,0.0,-3740.0,1.0,0.0
1360,3860.0,1.0,0.0,-3710.0,1.0,0.0
1380,3780.0,1.0,0.0,-3660.0,1.0,0.0
1400,3780.0,1.0,0.0,-3650.0,1.0,0.0
1420,3780.0,1.0,0.0,-3690.0,1.0,0.0
1440,3800.0,1.0,0.0,-3650.0,0.9599999785423279,0.0
1460,3890.0,0.9599999785423279,0.0,-3630.0,0.9599999785423279,0.0
1480,3830.0,1.0,0.0,-3690.0,1.0,0.0
1500,3740.0,0.9599999785423279,0.0,-3630.0,1.0,0.0
1520,3840.0,1.0,0.0,-3680.0,0.9599999785423279,0.0
1540,3890.0,1.0,0.0,-3750.0,0.9599999785423279,0.0
1560,3810.0,1.0,0.0,-3690.0,0.9599999785423279,0.0
1580,3850.0,0.9599999785423279,0.0,-3710.0,1.0,0.0
1600,3870.0,1.0,0.0,-3630.0,0.9599999785423279,0.0
1620,3830.0,1.0,0.0,-3740.0,0.8399999737739563,0.0
1640,3900.0,1.0,0.0,-3790.0,0.9599999785423279,0.0
1660,3810.0,1.0,0.0,-3710.0,0.9599999785423279,0.0
1680,3850.0,1.0,0.0,-3690.0,1.0,0.0
