time,c1,c2
0,2030.0,-2210.0
20,2070.0,-2200.0
40,2010.0,-2160.0
60,1990.0,-2160.0
80,1940.0,-2130.0
100,1980.0,-2090.0
120,1970.0,-2130.0
140,1930.0,-2170.0
160,1890.0,-2250.0
180,1930.0,-2200.0
200,1980.0,-2120.0
220,2040.0,-2130.0
240,2020.0,-2190.0
260,2020.0,-2270.0
280,2100.0,-2380.0
300,2100.0,-2350.0
320,2110.0,-2400.0
340,2110.0,-2390.0
360,2120.0,-2350.0
380,2120.0,-2390.0
400,2150.0,-2310.0
420,2150.0,-2250.0
440,2180.0,-2240.0
460,2190.0,-2270.0
480,2150.0,-2300.0
500,2380.0,-2290.0
520,2390.0,-2260.0
540,2320.0,-2260.0
560,2340.0,-2280.0
580,2310.0,-2330.0
600,2330.0,-2290.0
620,2290.0,-2280.0
640,2200.0,-2300.0
660,2200.0,-2290.0
680,2170.0,-2250.0
700,2100.0,-2270.0
720,2110.0,-2190.0
740,2110.0,-2190.0
760,2010.0,-2270.0
780,2020.0,-2300.0
800,2020.0,-2350.0
820,2050.0,-2360.0
840,2100.0,-2380.0
860,2080.0,-2450.0
880,2120.0,-2400.0
900,2190.0,-2370.0
920,2200.0,-2290.0
940,2180.0,-2300.0
960,2080.0,-2350.0
980,2130.0,-2300.0
1000,2180.0,-2120.0
1020,2130.0,-2160.0
1040,2180.0,-2250.0
1060,2160.0,-2270.0
1080,2160.0,-2250.0
1100,2190.0,-2230.0
1120,2230.0,-2260.0
1140,2170.0,-2340.0
1160,2130.0,-2300.0
1180,2210.0,-2320.0
1200,2140.0,-2250.0
1220,2070.0,-2200.0
1240,2120.0,-2170.0
1260,2150.0,-2150.0
1280,2180.0,-2160.0
1300,2210.0,-2170.0
1320,2180.0,-2140.0
1340,2210.0,-2170.0
1360,2250.0,-2100.0
1380,2190.0,-2080.0
1400,2160.0,-2060.0
1420,2270.0,-2060.0
1440,2160.0,-2120.0
1460,2120.0,-2180.0
1480,2190.0,-2160.0
1500,2170.0,-2220.0
1520,2110.0,-2330.0
1540,2170.0,-2330.0
1560,2170.0,-2300.0
1580,2100.0,-2330.0
1600,2090.0,-2340.0
1620,2060.0,-2400.0
1640,2170.0,-2290.0
1660,2090.0,-2360.0
1680,2100.0,-2380.0
1700,2190.0,-2410.0
1720,2210.0,-2390.0
1740,2180.0,-2390.0
1760,2220.0,-2370.0
1780,2190.0,-2380.0
1800,2210.0,-2320.0
1820,2200.0,-2270.0
1840,2170.0,-2310.0
1860,2200.0,-2330.0
1880,2130.0,-2320.0
1900,2190.0,-2300.0
1920,2180.0,-2290.0
1940,2180.0,-2230.0
1960,2140.0,-2250.0
1980,2140.0,-2180.0
2000,2220.0,-2210.0
2020,2200.0,-2200.0
2040,2140.0,-2200.0
2060,2220.0,-2230.0
2080,2280.0,-2270.0
2100,2220.0,-2340.0
2120,2190.0,-2320.0
2140,2160.0,-2320.0
2160,2180.0,-2280.0
2180,2200.0,-2220.0
2200,2230.0,-2260.0
2220,2200.0,-2250.0
2240,2180.0,-2260.0
2260,2170.0,-2340.0
2280,2170.0,-2340.0
2300,2220.0,-2340.0
2320,2170.0,-2240.0
2340,2180.0,-2250.0
2360,2130.0,-2170.0
2380,2120.0,-2100.0
2400,2140.0,-2050.0
2420,2120.0,-2040.0
2440,2130.0,-2040.0
2460,2070.0,-2050.0
2480,2080.0,-2050.0
2500,2180.0,-2360.0
2520,2190.0,-2310.0
2540,2140.0,-2310.0
2560,2180.0,-2310.0
2580,2210.0,-2330.0
2600,2220.0,-2220.0
2620,2150.0,-2170.0
2640,2170.0,-2240.0
2660,2220.0,-2230.0
2680,2250.0,-2160.0
2700,2290.0,-2220.0
2720,2260.0,-2230.0
2740,2270.0,-2220.0
2760,2260.0,-2170.0
2780,2190.0,-2120.0
2800,2170.0,-2030.0
2820,2140.0,-2010.0
2840,2160.0,-2050.0
2860,2140.0,-2050.0
2880,2170.0,-2020.0
2900,2190.0,-2020.0
2920,2230.0,-1960.0
2940,2200.0,-1980.0
2960,2240.0,-2030.0
2980,2200.0,-2010.0
3000,2160.0,-2030.0
3020,2120.0,-2010.0
3040,2110.0,-2010.0
3060,2210.0,-2020.0
3080,2190.0,-2070.0
3100,2180.0,-2080.0
3120,2130.0,-2090.0
3140,2150.0,-2080.0
3160,2130.0,-2020.0
3180,2160.0,-2080.0
3200,2170.0,-2080.0
3220,2140.0,-2120.0
3240,2130.0,-2080.0
3260,2120.0,-2200.0
3280,2130.0,-2190.0
3300,2090.0,-2280.0
3320,2060.0,-2320.0
3340,2020.0,-2310.0
3360,2030.0,-2360.0
3380,2030.0,-2340.0
3400,2070.0,-2340.0
3420,2020.0,-2340.0
3440,2070.0,-2330.0
3460,2100.0,-2400.0
3480,2190.0,-2370.0
3500,2070.0,-2280.0
3520,2130.0,-2320.0
3540,2120.0,-2320.0
3560,2170.0,-2300.0
3580,2100.0,-2350.0
3600,2200.0,-2340.0
3620,2090.0,-2290.0
3640,2100.0,-2280.0
3660,2140.0,-2320.0
3680,2060.0,-2310.0
3700,2140.0,-2350.0
3720,2140.0,-2310.0
3740,2150.0,-2330.0
3760,2170.0,-2310.0
3780,2180.0,-2290.0
3800,2110.0,-2260.0
3820,2210.0,-2300.0
3840,2230.0,-2370.0
3860,2230.0,-2370.0
3880,2250.0,-2330.0
3900,2180.0,-2240.0
3920,2170.0,-2260.0
3940,2190.0,-2250.0
3960,2180.0,-2280.0
3980,2190.0,-2270.0
4000,2200.0,-2380.0
4020,2130.0,-2410.0
4040,2240.0,-2460.0
4060,2290.0,-2480.0
4080,2310.0,-2440.0
4100,2260.0,-2430.0
4120,2260.0,-2450.0
4140,2240.0,-2470.0
4160,2150.0,-2480.0
4180,2150.0,-2450.0
4200,2140.0,-2370.0
4220,2110.0,-2330.0
4240,2080.0,-2250.0
4260,2110.0,-2280.0
4280,2040.0,-2290.0
4300,2080.0,-2310.0
4320,2000.0,-2340.0
4340,2090.0,-2380.0
4360,2010.0,-2370.0
4380,1960.0,-2480.0
4400,1950.0,-2500.0
4420,1990.0,-2510.0
4440,2000.0,-2530.0
4460,2090.0,-2480.0
4480,2130.0,-2500.0
4500,2090.0,-2320.0
4520,2020.0,-2290.0
4540,2020.0,-2280.0
4560,2070.0,-2310.0
4580,2100.0,-2290.0
4600,2090.0,-2350.0
4620,2150.0,-2310.0
4640,2180.0,-2350.0
4660,2170.0,-2320.0
4680,2130.0,-2300.0
4700,2120.0,-2320.0
4720,2090.0,-2290.0
4740,2100.0,-2200.0
4760,2090.0,-2140.0
4780,2100.0,-2160.0
4800,2080.0,-2200.0
4820,2070.0,-2220.0
4840,2110.0,-2270.0
4860,2150.0,-2220.0
4880,2190.0,-2210.0
4900,2220.0,-2170.0
4920,2270.0,-2190.0
4940,2230.0,-2200.0
4960,2160.0,-2170.0
4980,2120.0,-2170.0
5000,2130.0,-2290.0
5020,2080.0,-2280.0
5040,2060.0,-2310.0
5060,2110.0,-2270.0
5080,2180.0,-2250.0
5100,2170.0,-2260.0
5120,2110.0,-2240.0
5140,2090.0,-2250.0
5160,2060.0,-2300.0
5180,2000.0,-2250.0
5200,2050.0,-2270.0
5220,2060.0,-2260.0
5240,2050.0,-2300.0
5260,2110.0,-2310.0
5280,2200.0,-2280.0
5300,2210.0,-2290.0
5320,2220.0,-2300.0
5340,2210.0,-2300.0
5360,2250.0,-2300.0
5380,2210.0,-2380.0
5400,2250.0,-2330.0
5420,2270.0,-2330.0
5440,2210.0,-2360.0
5460,2230.0,-2350.0
5480,2180.0,-2390.0
5500,2280.0,-2160.0
5520,2280.0,-2090.0
5540,2190.0,-2140.0
5560,2140.0,-2220.0
5580,2110.0,-2260.0
5600,2160.0,-2290.0
5620,2160.0,-2280.0
5640,2230.0,-2330.0
5660,2120.0,-2340.0
5680,2090.0,-2340.0
5700,2100.0,-2340.0
5720,2140.0,-2380.0
5740,2140.0,-2310.0
5760,2160.0,-2260.0
5780,2130.0,-2340.0
5800,2120.0,-2360.0
5820,2210.0,-2270.0
5840,2240.0,-2210.0
5860,2150.0,-2150.0
5880,2160.0,-2090.0
5900,2140.0,-2110.0
5920,2170.0,-2120.0
5940,2100.0,-2150.0
5960,2110.0,-2110.0
5980,2170.0,-2090.0
6000,2160.0,-2070.0
6020,2180.0,-2140.0
6040,2150.0,-2210.0
6060,2240.0,-2170.0
6080,2140.0,-2160.0
6100,2180.0,-2090.0
6120,2190.0,-2150.0
6140,2150.0,-2140.0
6160,2140.0,-2190.0
6180,2110.0,-2250.0
6200,2160.0,-2300.0
6220,2230.0,-2280.0
6240,2260.0,-2240.0
6260,2140.0,-2280.0
6280,2150.0,-2240.0
6300,2140.0,-2290.0
6320,2200.0,-2340.0
6340,2270.0,-2370.0
6360,2230.0,-2320.0
6380,2320.0,-2270.0
6400,2320.0,-2280.0
6420,2290.0,-2370.0
6440,2220.0,-2370.0
6460,2220.0,-2360.0
6480,2300.0,-2330.0
6500,2460.0,-2800.0
6520,2460.0,-2720.0
6540,2430.0,-2630.0
6560,2440.0,-2530.0
6580,2430.0,-2590.0
6600,2410.0,-2580.0
6620,2400.0,-2580.0
6640,2340.0,-2640.0
6660,2350.0,-2580.0
6680,2370.0,-2650.0
6700,2400.0,-2580.0
6720,2460.0,-2570.0
6740,2420.0,-2530.0
6760,2520.0,-2580.0
6780,2550.0,-2550.0
6800,2530.0,-2530.0
6820,2580.0,-2500.0
6840,2580.0,-2540.0
6860,2580.0,-2590.0
6880,2550.0,-2660.0
6900,2620.0,-2750.0
6920,2670.0,-2730.0
6940,2700.0,-2770.0
6960,2720.0,-2820.0
6980,2770.0,-2770.0
7000,3030.0,-2830.0
7020,3040.0,-2760.0
7040,2980.0,-2800.0
7060,3020.0,-2770.0
7080,3040.0,-2830.0
7100,3070.0,-2800.0
7120,3120.0,-2790.0
7140,3090.0,-2810.0
7160,3000.0,-2840.0
7180,2950.0,-2890.0
7200,3050.0,-2920.0
7220,3070.0,-2930.0
7240,3110.0,-2850.0
7260,3110.0,-2850.0
7280,3020.0,-2780.0
7300,3110.0,-2790.0
7320,3130.0,-2840.0
7340,3140.0,-2890.0
7360,3080.0,-2850.0
7380,3010.0,-2780.0
7400,2980.0,-2750.0
7420,2950.0,-2740.0
7440,2870.0,-2810.0
7460,2880.0,-2760.0
7480,2890.0,-2680.0
7500,3090.0,-3030.0
7520,3100.0,-2960.0
7540,3060.0,-2970.0
