time,c1,c2
0,2030.0,-2360.0
20,2030.0,-2470.0
40,1970.0,-2470.0
60,2000.0,-2430.0
80,1980.0,-2470.0
100,2040.0,-2390.0
120,2050.0,-2300.0
140,2000.0,-2310.0
160,2010.0,-2250.0
180,1940.0,-2230.0
200,1940.0,-2350.0
220,2020.0,-2260.0
240,1980.0,-2290.0
260,1920.0,-2390.0
280,1880.0,-2420.0
300,1780.0,-2370.0
320,1780.0,-2320.0
340,1790.0,-2360.0
360,1840.0,-2350.0
380,1850.0,-2430.0
400,1890.0,-2320.0
420,1970.0,-2340.0
440,1940.0,-2340.0
460,2010.0,-2340.0
480,2090.0,-2390.0
500,2380.0,-2590.0
520,2350.0,-2590.0
540,2270.0,-2640.0
560,2250.0,-2690.0
580,2150.0,-2650.0
600,2150.0,-2700.0
620,2180.0,-2690.0
640,2140.0,-2710.0
660,2150.0,-2680.0
680,2100.0,-2700.0
700,2140.0,-2670.0
720,2150.0,-2690.0
740,2080.0,-2710.0
760,2080.0,-2710.0
780,2080.0,-2710.0
800,2060.0,-2660.0
820,2030.0,-2730.0
840,2050.0,-2710.0
860,2060.0,-2700.0
880,2080.0,-2700.0
900,2120.0,-2590.0
920,2040.0,-2630.0
940,2020.0,-2690.0
960,2030.0,-2750.0
980,2100.0,-2760.0
1000,2080.0,-2120.0
1020,2090.0,-2190.0
1040,2100.0,-2250.0
1060,1990.0,-2300.0
1080,2000.0,-2280.0
1100,1970.0,-2340.0
1120,1950.0,-2380.0
1140,1920.0,-2360.0
1160,1990.0,-2330.0
1180,1980.0,-2330.0
1200,2100.0,-2280.0
1220,2070.0,-2250.0
1240,2130.0,-2280.0
1260,2090.0,-2330.0
1280,2170.0,-2380.0
1300,2180.0,-2410.0
1320,2220.0,-2350.0
1340,2200.0,-2260.0
1360,2180.0,-2300.0
1380,2110.0,-2300.0
1400,2120.0,-2350.0
1420,2200.0,-2360.0
1440,2110.0,-2380.0
1460,2080.0,-2480.0
1480,2090.0,-2480.0
1500,2040.0,-2360.0
1520,2120.0,-2360.0
1540,2190.0,-2320.0
1560,2140.0,-2280.0
1580,2120.0,-2330.0
1600,2050.0,-2390.0
1620,1990.0,-2400.0
1640,2000.0,-2270.0
1660,2060.0,-2270.0
1680,2020.0,-2230.0
1700,1990.0,-2270.0
1720,1960.0,-2270.0
1740,2060.0,-2320.0
1760,2080.0,-2290.0
1780,2060.0,-2250.0
1800,2170.0,-2320.0
1820,2160.0,-2290.0
1840,2130.0,-2330.0
1860,2080.0,-2330.0
1880,2120.0,-2360.0
1900,2200.0,-2370.0
1920,2130.0,-2390.0
1940,2080.0,-2430.0
1960,2150.0,-2410.0
1980,2080.0,-2390.0
2000,2020.0,-2450.0
2020,1970.0,-2380.0
2040,2020.0,-2400.0
2060,1980.0,-2360.0
2080,1960.0,-2350.0
2100,2010.0,-2370.0
2120,1970.0,-2430.0
