time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
0,-15050.0,1.0,0.0,18060.0,1.0,0.0,17950.0,1.0,0.0,-15800.0,1.0,0.0
20,-15050.0,1.0,0.0,18020.0,1.0,0.0,17980.0,1.0,0.0,-15750.0,1.0,0.0
40,-15040.0,1.0,0.0,18030.0,1.0,0.0,18000.0,1.0,0.0,-15770.0,1.0,0.0
60,-14980.0,1.0,0.0,18030.0,1.0,0.0,18180.0,1.0,0.0,-15720.0,1.0,0.0
80,-15000.0,1.0,0.0,18050.0,1.0,0.0,17980.0,1.0,0.0,-15670.0,1.0,0.0
100,-15090.0,1.0,0.0,18010.0,1.0,0.0,17920.0,1.0,0.0,-15740.0,1.0,0.0
120,-15140.0,1.0,0.0,18000.0,1.0,0.0,17820.0,1.0,0.0,-15810.0,1.0,0.0
140,-15080.0,1.0,0.0,17950.0,1.0,0.0,17850.0,1.0,0.0,-15710.0,1.0,0.0
160,-15080.0,1.0,0.0,18030.0,1.0,0.0,17760.0,1.0,0.0,-15830.0,1.0,0.0
180,-15070.0,1.0,0.0,18060.0,1.0,0.0,17850.0,1.0,0.0,-15860.0,1.0,0.0
200,-15190.0,1.0,0.0,18050.0,1.0,0.0,17850.0,1.0,0.0,-15760.0,1.0,0.0
220,-15180.0,1.0,0.0,18030.0,1.0,0.0,17910.0,1.0,0.0,-15900.0,1.0,0.0
240,-15170.0,1.0,0.0,17950.0,1.0,0.0,17840.0,1.0,0.0,-15950.0,1.0,0.0
260,-15250.0,1.0,0.0,17820.0,1.0,0.0,17770.0,1.0,0.0,-15940.0,1.0,0.0
280,-15170.0,1.0,0.0,17760.0,1.0,0.0,17770.0,1.0,0.0,-16020.0,1.0,0.0
300,-15180.0,1.0,0.0,17750.0,1.0,0.0,17790.0,1.0,0.0,-15890.0,1.0,0.0
320,-15100.0,1.0,0.0,17800.0,1.0,0.0,17800.0,1.0,0.0,-15810.0,1.0,0.0
