time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
0,17590.0,1.0,0.0,-15660.0,1.0,0.0,-15270.0,1.0,0.0,17300.0,1.0,0.0
20,17700.0,1.0,0.0,-15610.0,1.0,0.0,-15230.0,1.0,0.0,17430.0,1.0,0.0
40,17760.0,1.0,0.0,-15650.0,1.0,0.0,-15140.0,1.0,0.0,17360.0,1.0,0.0
60,17810.0,1.0,0.0,-15740.0,1.0,0.0,-15280.0,1.0,0.0,17530.0,1.0,0.0
80,17750.0,1.0,0.0,-15840.0,1.0,0.0,-15240.0,1.0,0.0,17590.0,1.0,0.0
100,17600.0,1.0,0.0,-15920.0,1.0,0.0,-15290.0,1.0,0.0,17620.0,1.0,0.0
120,17700.0,1.0,0.0,-15800.0,1.0,0.0,-15370.0,1.0,0.0,17620.0,1.0,0.0
140,17710.0,1.0,0.0,-15780.0,1.0,0.0,-15360.0,1.0,0.0,17480.0,1.0,0.0
160,17710.0,1.0,0.0,-15790.0,1.0,0.0,-15400.0,1.0,0.0,17320.0,1.0,0.0
180,17840.0,1.0,0.0,-15800.0,1.0,0.0,-15430.0,1.0,0.0,17460.0,1.0,0.0
200,17830.0,1.0,0.0,-15880.0,1.0,0.0,-15390.0,1.0,0.0,17420.0,1.0,0.0
220,17850.0,1.0,0.0,-15870.0,1.0,0.0,-15430.0,1.0,0.0,17450.0,1.0,0.0
240,17840.0,1.0,0.0,-15970.0,1.0,0.0,-15470.0,1.0,0.0,17450.0,1.0,0.0
260,17910.0,1.0,0.0,-15990.0,1.0,0.0,-15410.0,1.0,0.0,17410.0,1.0,0.0
280,17810.0,1.0,0.0,-15920.0,1.0,0.0,-15380.0,1.0,0.0,17460.0,1.0,0.0
300,17700.0,1.0,0.0,-15920.0,1.0,0.0,-15410.0,1.0,0.0,17530.0,1.0,0.0
320,17710.0,1.0,0.0,-16030.0,1.0,0.0,-15260.0,1.0,0.0,17540.0,1.0,0.0
340,17720.0,1.0,0.0,-16130.0,1.0,0.0,-15250.0,1.0,0.0,17520.0,1.0,0.0
360,17610.0,1.0,0.0,-16030.0,1.0,0.0,-15210.0,1.0,0.0,17610.0,1.0,0.0
380,17710.0,1.0,0.0,-15990.0,1.0,0.0,-15240.0,1.0,0.0,17550.0,1.0,0.0
400,17760.0,1.0,0.0,-15880.0,1.0,0.0,-15200.0,1.0,0.0,17500.0,1.0,0.0
420,17810.0,1.0,0.0,-15830.0,1.0,0.0,-15150.0,1.0,0.0,17460.0,1.0,0.0
440,17990.0,1.0,0.0,-15750.0,1.0,0.0,-15280.0,1.0,0.0,17430.0,1.0,0.0
460,17950.0,1.0,0.0,-15710.0,1.0,0.0,-15250.0,1.0,0.0,17460.0,1.0,0.0
480,17950.0,1.0,0.0,-15650.0,1.0,0.0,-15300.0,1.0,0.0,17590.0,1.0,0.0
500,18020.0,1.0,0.0,-15730.0,1.0,0.0,-15300.0,1.0,0.0,17510.0,1.0,0.0
520,18090.0,1.0,0.0,-15780.0,1.0,0.0,-15200.0,1.0,0.0,17410.0,1.0,0.0
540,18040.0,1.0,0.0,-15830.0,1.0,0.0,-15220.0,1.0,0.0,17500.0,1.0,0.0
